scenario,STATE,decline
1,RO,2.124776895
1,AC,1.785396843
1,AM,3.464327293
1,RR,2.677775902
1,PA,2.714236281
1,AP,3.177174167
1,TO,1.18337879
1,MA,2.550441825
1,PI,1.434268862
1,CE,2.295194953
1,RN,1.075743198
1,PB,1.216349038
1,PE,1.880517217
1,AL,1.838864843
1,SE,1.59372722
1,BA,1.386434095
1,MG,0.368169903
1,ES,1.793389808
1,RJ,1.767462619
1,SP,1.157784544
1,PR,0.602237154
1,SC,0.100818142
1,RS,-0.071751289
1,MS,1.121602319
1,MT,2.703086554
1,GO,1.34858367
1,DF,2.148591884
2,RO,2.382440557
2,AC,1.902510652
2,AM,3.41517691
2,RR,2.431735534
2,PA,2.809434007
2,AP,3.968158906
2,TO,1.501774675
2,MA,2.92835726
2,PI,2.001962806
2,CE,3.024853
2,RN,1.253645999
2,PB,1.580357382
2,PE,2.074961474
2,AL,2.373778375
2,SE,1.953209248
2,BA,1.597126679
2,MG,0.480750109
2,ES,1.986709152
2,RJ,1.855716924
2,SP,1.407668043
2,PR,0.910309672
2,SC,0.471696147
2,RS,0.109434093
2,MS,1.546434478
2,MT,3.077788543
2,GO,1.573326583
2,DF,2.534128153
3,RO,1.830855087
3,AC,1.498793932
3,AM,3.279983306
3,RR,2.940422877
3,PA,2.404491585
3,AP,1.916648556
3,TO,0.711752598
3,MA,1.916444772
3,PI,0.732267022
3,CE,1.385125409
3,RN,0.822474843
3,PB,0.776005127
3,PE,1.591816078
3,AL,1.179276524
3,SE,1.102242104
3,BA,1.069173821
3,MG,0.227524064
3,ES,1.487666554
3,RJ,1.588352842
3,SP,0.822762315
3,PR,0.228547493
3,SC,-0.347315727
3,RS,-0.277269264
3,MS,0.584755054
3,MT,2.192165747
3,GO,1.029362211
3,DF,1.652509442
