"Appendix 1a. Person-years by State, Sex, and Age Group for 2020",,,
State,Sex,Age Group,2020 Person-years
MS,Total,75-79,43556
MS,Total,80-84,27895
MS,Total,85-89,14449
MS,Total,90+,8348
MT,Female,0,27796
MT,Female,1-4,110630
MT,Female,5-9,131817
MT,Female,10-14,131146
MT,Female,15-19,131735
MT,Female,20-24,139866
MT,Female,25-29,144387
MT,Female,30-34,144708
MT,Female,35-39,141908
MT,Female,40-44,131955
MT,Female,45-49,115693
MT,Female,50-54,102474
MT,Female,55-59,86503
MT,Female,60-64,67755
MT,Female,65-69,49581
MT,Female,70-74,34122
MT,Female,75-79,22107
MT,Female,80-84,13505
MT,Female,85-89,6499
MT,Female,90+,3795
MT,Male,0,29101
MT,Male,1-4,115609
MT,Male,5-9,137290
MT,Male,10-14,136393
MT,Male,15-19,136952
MT,Male,20-24,146200
MT,Male,25-29,149008
MT,Male,30-34,150990
MT,Male,35-39,146730
MT,Male,40-44,133327
MT,Male,45-49,116152
MT,Male,50-54,104051
MT,Male,55-59,88666
MT,Male,60-64,69189
MT,Male,65-69,49815
MT,Male,70-74,33500
MT,Male,75-79,21201
MT,Male,80-84,12437
MT,Male,85-89,5855
MT,Male,90+,3099
MT,Total,0,56897
MT,Total,1-4,226239
MT,Total,5-9,269107
MT,Total,10-14,267539
MT,Total,15-19,268687
MT,Total,20-24,286066
MT,Total,25-29,293395
MT,Total,30-34,295698
MT,Total,35-39,288638
MT,Total,40-44,265281
MT,Total,45-49,231845
MT,Total,50-54,206525
MT,Total,55-59,175170
MT,Total,60-64,136944
MT,Total,65-69,99396
MT,Total,70-74,67621
MT,Total,75-79,43309
MT,Total,80-84,25942
MT,Total,85-89,12354
MT,Total,90+,6895
PA,Female,0,70385
PA,Female,1-4,280153
PA,Female,5-9,357327
PA,Female,10-14,385455
PA,Female,15-19,395599
PA,Female,20-24,404301
PA,Female,25-29,382971
PA,Female,30-34,368058
PA,Female,35-39,350118
PA,Female,40-44,302104
PA,Female,45-49,249086
PA,Female,50-54,206523
PA,Female,55-59,165439
PA,Female,60-64,134229
PA,Female,65-69,102218
PA,Female,70-74,71594
PA,Female,75-79,49972
PA,Female,80-84,30196
PA,Female,85-89,15884
PA,Female,90+,9741
PA,Male,0,73628
PA,Male,1-4,293142
PA,Male,5-9,373738
PA,Male,10-14,402717
PA,Male,15-19,412227
PA,Male,20-24,415627
PA,Male,25-29,382524
PA,Male,30-34,362264
PA,Male,35-39,340933
PA,Male,40-44,299268
PA,Male,45-49,248551
PA,Male,50-54,207564
PA,Male,55-59,164147
PA,Male,60-64,130817
PA,Male,65-69,97139
PA,Male,70-74,65780
PA,Male,75-79,42664
PA,Male,80-84,23780
PA,Male,85-89,11203
PA,Male,90+,5961
PA,Total,0,144013
PA,Total,1-4,573295
PA,Total,5-9,731065
PA,Total,10-14,788173
PA,Total,15-19,807826
PA,Total,20-24,819928
PA,Total,25-29,765495
PA,Total,30-34,730322
PA,Total,35-39,691051
PA,Total,40-44,601372
PA,Total,45-49,497637
PA,Total,50-54,414087
PA,Total,55-59,329585
PA,Total,60-64,265046
PA,Total,65-69,199357
PA,Total,70-74,137374
PA,Total,75-79,92637
PA,Total,80-84,53975
PA,Total,85-89,27087
PA,Total,90+,15702
PB,Female,0,27914
PB,Female,1-4,111481
PB,Female,5-9,132648
PB,Female,10-14,147903
PB,Female,15-19,161819
PB,Female,20-24,167693
PB,Female,25-29,166294
PB,Female,30-34,167960
PB,Female,35-39,164838
PB,Female,40-44,153056
PB,Female,45-49,134208
PB,Female,50-54,125032
PB,Female,55-59,108501
PB,Female,60-64,87080
PB,Female,65-69,72750
PB,Female,70-74,60580
PB,Female,75-79,43230
PB,Female,80-84,31201
PB,Female,85-89,15272
PB,Female,90+,9826
PB,Male,0,29303
PB,Male,1-4,117170
PB,Male,5-9,139665
PB,Male,10-14,155133
PB,Male,15-19,166442
PB,Male,20-24,168375
PB,Male,25-29,160696
PB,Male,30-34,156170
PB,Male,35-39,151746
PB,Male,40-44,139362
PB,Male,45-49,120592
PB,Male,50-54,109912
PB,Male,55-59,93841
PB,Male,60-64,71222
PB,Male,65-69,56555
PB,Male,70-74,45571
PB,Male,75-79,30590
PB,Male,80-84,20267
PB,Male,85-89,9411
PB,Male,90+,5835
PB,Total,0,57217
PB,Total,1-4,228650
PB,Total,5-9,272312
PB,Total,10-14,303037
PB,Total,15-19,328261
PB,Total,20-24,336068
PB,Total,25-29,326990
PB,Total,30-34,324130
PB,Total,35-39,316584
PB,Total,40-44,292418
PB,Total,45-49,254800
PB,Total,50-54,234944
PB,Total,55-59,202341
PB,Total,60-64,158302
PB,Total,65-69,129305
PB,Total,70-74,106151
PB,Total,75-79,73819
PB,Total,80-84,51469
PB,Total,85-89,24683
PB,Total,90+,15661
PE,Female,0,66939
PE,Female,1-4,267553
PE,Female,5-9,345432
PE,Female,10-14,358332
PE,Female,15-19,382783
PE,Female,20-24,407218
PE,Female,25-29,393994
PE,Female,30-34,403355
PE,Female,35-39,394291
PE,Female,40-44,368161
PE,Female,45-49,328671
PE,Female,50-54,298236
PE,Female,55-59,257000
PE,Female,60-64,210569
PE,Female,65-69,170209
PE,Female,70-74,134187
PE,Female,75-79,93728
PE,Female,80-84,64326
PE,Female,85-89,32566
PE,Female,90+,20552
PE,Male,0,70145
PE,Male,1-4,280350
PE,Male,5-9,361549
PE,Male,10-14,373373
PE,Male,15-19,394111
PE,Male,20-24,410735
PE,Male,25-29,379841
PE,Male,30-34,374740
PE,Male,35-39,359435
PE,Male,40-44,330332
PE,Male,45-49,287676
PE,Male,50-54,254362
PE,Male,55-59,213951
PE,Male,60-64,168507
PE,Male,65-69,127210
PE,Male,70-74,97383
PE,Male,75-79,62627
PE,Male,80-84,39082
PE,Male,85-89,17870
PE,Male,90+,10111
PE,Total,0,137084
PE,Total,1-4,547904
PE,Total,5-9,706981
PE,Total,10-14,731704
PE,Total,15-19,776894
PE,Total,20-24,817953
PE,Total,25-29,773835
PE,Total,30-34,778095
PE,Total,35-39,753726
PE,Total,40-44,698494
PE,Total,45-49,616347
PE,Total,50-54,552598
PE,Total,55-59,470951
PE,Total,60-64,379076
PE,Total,65-69,297419
PE,Total,70-74,231569
PE,Total,75-79,156356
PE,Total,80-84,103408
PE,Total,85-89,50436
PE,Total,90+,30663
PI,Female,0,23265
PI,Female,1-4,92729
PI,Female,5-9,115963
PI,Female,10-14,126232
PI,Female,15-19,141070
PI,Female,20-24,143618
PI,Female,25-29,134340
PI,Female,30-34,137979
PI,Female,35-39,132809
PI,Female,40-44,123285
PI,Female,45-49,103326
PI,Female,50-54,95018
PI,Female,55-59,84389
PI,Female,60-64,70474
PI,Female,65-69,57526
PI,Female,70-74,43104
PI,Female,75-79,29659
PI,Female,80-84,20542
PI,Female,85-89,10339
PI,Female,90+,5716
PI,Male,0,24390
PI,Male,1-4,97114
PI,Male,5-9,120980
PI,Male,10-14,131082
PI,Male,15-19,145346
PI,Male,20-24,146810
PI,Male,25-29,129258
PI,Male,30-34,126231
PI,Male,35-39,120836
PI,Male,40-44,111382
PI,Male,45-49,93534
PI,Male,50-54,84721
PI,Male,55-59,72775
PI,Male,60-64,58009
PI,Male,65-69,45518
PI,Male,70-74,34495
PI,Male,75-79,22771
PI,Male,80-84,13549
