"Appendix 1a. Projected Population for March 2021 by State, Sex, and Age Group",,,
* (projected by authors from IBGE mid-year population projections),,,
State,Sex,Age Group,Population
AL,Total,55-59," 152,085 "
AL,Total,60-64," 121,795 "
AL,Total,65-69," 96,844 "
AL,Total,70-74," 71,659 "
AL,Total,75-79," 48,219 "
AL,Total,80-84," 29,383 "
AL,Total,85-89," 14,741 "
AL,Total,90+," 8,937 "
AM,Female,0," 39,487 "
AM,Female,01-04," 157,908 "
AM,Female,05-09," 199,365 "
AM,Female,10-14," 195,057 "
AM,Female,15-19," 189,576 "
AM,Female,20-24," 201,277 "
AM,Female,25-29," 188,774 "
AM,Female,30-34," 173,414 "
AM,Female,35-39," 163,420 "
AM,Female,40-44," 144,900 "
AM,Female,45-49," 117,929 "
AM,Female,50-54," 93,971 "
AM,Female,55-59," 75,555 "
AM,Female,60-64," 59,291 "
AM,Female,65-69," 43,795 "
AM,Female,70-74," 29,942 "
AM,Female,75-79," 19,889 "
AM,Female,80-84," 12,322 "
AM,Female,85-89," 6,563 "
AM,Female,90+," 4,280 "
AM,Male,0," 41,320 "
AM,Male,01-04," 165,224 "
AM,Male,05-09," 208,555 "
AM,Male,10-14," 203,791 "
AM,Male,15-19," 197,107 "
AM,Male,20-24," 205,329 "
AM,Male,25-29," 186,450 "
AM,Male,30-34," 171,887 "
AM,Male,35-39," 161,394 "
AM,Male,40-44," 142,453 "
AM,Male,45-49," 116,327 "
AM,Male,50-54," 96,318 "
AM,Male,55-59," 76,465 "
AM,Male,60-64," 57,832 "
AM,Male,65-69," 41,258 "
AM,Male,70-74," 26,867 "
AM,Male,75-79," 17,129 "
AM,Male,80-84," 9,557 "
AM,Male,85-89," 4,614 "
AM,Male,90+," 2,415 "
AM,Total,0," 80,808 "
AM,Total,01-04," 323,132 "
AM,Total,05-09," 407,920 "
AM,Total,10-14," 398,848 "
AM,Total,15-19," 386,682 "
AM,Total,20-24," 406,606 "
AM,Total,25-29," 375,224 "
AM,Total,30-34," 345,301 "
AM,Total,35-39," 324,815 "
AM,Total,40-44," 287,353 "
AM,Total,45-49," 234,256 "
AM,Total,50-54," 190,289 "
AM,Total,55-59," 152,020 "
AM,Total,60-64," 117,123 "
AM,Total,65-69," 85,053 "
AM,Total,70-74," 56,809 "
AM,Total,75-79," 37,018 "
AM,Total,80-84," 21,878 "
AM,Total,85-89," 11,177 "
AM,Total,90+," 6,696 "
AP,Female,0," 7,729 "
AP,Female,01-04," 31,268 "
AP,Female,05-09," 39,493 "
AP,Female,10-14," 39,851 "
AP,Female,15-19," 41,375 "
AP,Female,20-24," 42,728 "
AP,Female,25-29," 40,566 "
AP,Female,30-34," 37,789 "
AP,Female,35-39," 35,067 "
AP,Female,40-44," 29,956 "
AP,Female,45-49," 24,590 "
AP,Female,50-54," 19,007 "
AP,Female,55-59," 14,386 "
AP,Female,60-64," 11,045 "
AP,Female,65-69," 7,851 "
AP,Female,70-74," 4,913 "
AP,Female,75-79," 3,566 "
AP,Female,80-84," 2,226 "
AP,Female,85-89," 1,220 "
AP,Female,90+, 914 
AP,Male,0," 8,107 "
AP,Male,01-04," 32,781 "
AP,Male,05-09," 41,351 "
AP,Male,10-14," 41,392 "
AP,Male,15-19," 42,236 "
AP,Male,20-24," 42,529 "
AP,Male,25-29," 40,005 "
AP,Male,30-34," 37,274 "
AP,Male,35-39," 33,545 "
AP,Male,40-44," 28,618 "
AP,Male,45-49," 24,085 "
AP,Male,50-54," 19,438 "
AP,Male,55-59," 14,944 "
AP,Male,60-64," 11,376 "
AP,Male,65-69," 7,819 "
AP,Male,70-74," 4,783 "
AP,Male,75-79," 3,177 "
AP,Male,80-84," 1,805 "
AP,Male,85-89, 892 
AP,Male,90+, 564 
AP,Total,0," 15,836 "
AP,Total,01-04," 64,048 "
AP,Total,05-09," 80,844 "
AP,Total,10-14," 81,243 "
AP,Total,15-19," 83,611 "
AP,Total,20-24," 85,258 "
AP,Total,25-29," 80,571 "
AP,Total,30-34," 75,064 "
AP,Total,35-39," 68,612 "
AP,Total,40-44," 58,574 "
AP,Total,45-49," 48,675 "
AP,Total,50-54," 38,445 "
AP,Total,55-59," 29,330 "
AP,Total,60-64," 22,421 "
AP,Total,65-69," 15,669 "
AP,Total,70-74," 9,696 "
AP,Total,75-79," 6,743 "
AP,Total,80-84," 4,031 "
AP,Total,85-89," 2,112 "
AP,Total,90+," 1,478 "
BA,Female,0," 99,149 "
BA,Female,01-04," 400,534 "
BA,Female,05-09," 501,287 "
BA,Female,10-14," 536,558 "
BA,Female,15-19," 583,284 "
BA,Female,20-24," 620,955 "
BA,Female,25-29," 610,966 "
BA,Female,30-34," 615,815 "
BA,Female,35-39," 648,035 "
BA,Female,40-44," 598,597 "
BA,Female,45-49," 503,059 "
BA,Female,50-54," 454,287 "
BA,Female,55-59," 391,629 "
BA,Female,60-64," 329,823 "
BA,Female,65-69," 260,935 "
BA,Female,70-74," 202,113 "
BA,Female,75-79," 146,673 "
BA,Female,80-84," 100,004 "
BA,Female,85-89," 56,289 "
BA,Female,90+," 39,622 "
BA,Male,0," 104,002 "
BA,Male,01-04," 419,901 "
BA,Male,05-09," 524,856 "
BA,Male,10-14," 560,699 "
BA,Male,15-19," 604,102 "
BA,Male,20-24," 631,194 "
BA,Male,25-29," 591,652 "
BA,Male,30-34," 571,312 "
BA,Male,35-39," 595,348 "
BA,Male,40-44," 551,539 "
BA,Male,45-49," 460,042 "
BA,Male,50-54," 412,986 "
BA,Male,55-59," 350,119 "
BA,Male,60-64," 285,293 "
BA,Male,65-69," 215,808 "
BA,Male,70-74," 161,989 "
BA,Male,75-79," 108,468 "
BA,Male,80-84," 65,758 "
BA,Male,85-89," 31,968 "
BA,Male,90+," 19,585 "
BA,Total,0," 203,151 "
BA,Total,01-04," 820,434 "
BA,Total,05-09," 1,026,142 "
BA,Total,10-14," 1,097,257 "
BA,Total,15-19," 1,187,386 "
BA,Total,20-24," 1,252,149 "
BA,Total,25-29," 1,202,619 "
BA,Total,30-34," 1,187,128 "
BA,Total,35-39," 1,243,383 "
BA,Total,40-44," 1,150,136 "
BA,Total,45-49," 963,102 "
BA,Total,50-54," 867,273 "
BA,Total,55-59," 741,748 "
BA,Total,60-64," 615,116 "
BA,Total,65-69," 476,743 "
BA,Total,70-74," 364,102 "
BA,Total,75-79," 255,140 "
BA,Total,80-84," 165,761 "
BA,Total,85-89," 88,258 "
BA,Total,90+," 59,208 "
CE,Female,0," 63,732 "
CE,Female,01-04," 256,402 "
CE,Female,05-09," 314,791 "
CE,Female,10-14," 328,005 "
CE,Female,15-19," 349,847 "
CE,Female,20-24," 402,361 "
CE,Female,25-29," 407,053 "
CE,Female,30-34," 405,534 "
CE,Female,35-39," 377,632 "
CE,Female,40-44," 340,275 "
CE,Female,45-49," 298,559 "
CE,Female,50-54," 277,357 "
CE,Female,55-59," 245,962 "
CE,Female,60-64," 194,176 "
CE,Female,65-69," 156,378 "
CE,Female,70-74," 125,921 "
CE,Female,75-79," 88,153 "
CE,Female,80-84," 63,535 "
CE,Female,85-89," 33,497 "
CE,Female,90+," 21,572 "
CE,Male,0," 66,805 "
CE,Male,01-04," 268,666 "
CE,Male,05-09," 329,359 "
CE,Male,10-14," 342,249 "
CE,Male,15-19," 361,578 "
CE,Male,20-24," 409,222 "
CE,Male,25-29," 397,583 "
CE,Male,30-34," 381,225 "
CE,Male,35-39," 351,653 "
CE,Male,40-44," 311,783 "
CE,Male,45-49," 267,860 "
CE,Male,50-54," 244,480 "
CE,Male,55-59," 214,847 "
CE,Male,60-64," 160,219 "
CE,Male,65-69," 123,998 "
CE,Male,70-74," 98,813 "
CE,Male,75-79," 66,732 "
CE,Male,80-84," 43,176 "
CE,Male,85-89," 20,314 "
CE,Male,90+," 11,849 "
CE,Total,0," 130,537 "
CE,Total,01-04," 525,068 "
CE,Total,05-09," 644,150 "
CE,Total,10-14," 670,253 "
CE,Total,15-19," 711,425 "
CE,Total,20-24," 811,582 "
CE,Total,25-29," 804,636 "
CE,Total,30-34," 786,759 "
CE,Total,35-39," 729,285 "
CE,Total,40-44," 652,058 "
CE,Total,45-49," 566,419 "
CE,Total,50-54," 521,837 "
CE,Total,55-59," 460,809 "
CE,Total,60-64," 354,396 "
CE,Total,65-69," 280,376 "
CE,Total,70-74," 224,734 "
CE,Total,75-79," 154,886 "
CE,Total,80-84," 106,712 "
CE,Total,85-89," 53,811 "
CE,Total,90+," 33,421 "
DF,Female,0," 21,060 "
DF,Female,01-04," 79,366 "
DF,Female,05-09," 92,599 "
DF,Female,10-14," 99,066 "
DF,Female,15-19," 117,396 "
DF,Female,20-24," 126,862 "
DF,Female,25-29," 129,734 "
DF,Female,30-34," 135,732 "
DF,Female,35-39," 146,774 "
DF,Female,40-44," 140,096 "
DF,Female,45-49," 116,996 "
DF,Female,50-54," 100,601 "
DF,Female,55-59," 85,181 "
DF,Female,60-64," 67,104 "
DF,Female,65-69," 51,501 "
DF,Female,70-74," 37,090 "
DF,Female,75-79," 23,925 "
DF,Female,80-84," 15,537 "
DF,Female,85-89," 7,868 "
DF,Female,90+," 4,470 "
DF,Male,0," 22,099 "
DF,Male,01-04," 83,593 "
DF,Male,05-09," 97,775 "
DF,Male,10-14," 103,531 "
DF,Male,15-19," 120,651 "
DF,Male,20-24," 127,618 "
DF,Male,25-29," 125,101 "
DF,Male,30-34," 129,487 "
DF,Male,35-39," 132,831 "
DF,Male,40-44," 123,417 "
DF,Male,45-49," 102,856 "
DF,Male,50-54," 88,443 "
DF,Male,55-59," 70,926 "
DF,Male,60-64," 52,950 "
DF,Male,65-69," 39,074 "
DF,Male,70-74," 26,608 "
DF,Male,75-79," 16,253 "
DF,Male,80-84," 9,987 "
DF,Male,85-89," 4,351 "
DF,Male,90+," 1,879 "
DF,Total,0," 43,159 "
DF,Total,01-04," 162,959 "
DF,Total,05-09," 190,373 "
DF,Total,10-14," 202,597 "
DF,Total,15-19," 238,047 "
DF,Total,20-24," 254,481 "
DF,Total,25-29," 254,835 "
DF,Total,30-34," 265,219 "
DF,Total,35-39," 279,605 "
DF,Total,40-44," 263,513 "
DF,Total,45-49," 219,852 "
DF,Total,50-54," 189,044 "
DF,Total,55-59," 156,107 "
DF,Total,60-64," 120,054 "
DF,Total,65-69," 90,575 "
DF,Total,70-74," 63,698 "
DF,Total,75-79," 40,178 "
DF,Total,80-84," 25,524 "
DF,Total,85-89," 12,220 "
DF,Total,90+," 6,349 "
ES,Female,0," 28,038 "
ES,Female,01-04," 112,728 "
ES,Female,05-09," 139,534 "
ES,Female,10-14," 134,070 "
ES,Female,15-19," 141,726 "
ES,Female,20-24," 155,199 "
ES,Female,25-29," 157,582 "
ES,Female,30-34," 167,445 "
ES,Female,35-39," 168,579 "
ES,Female,40-44," 157,916 "
ES,Female,45-49," 136,598 "
ES,Female,50-54," 126,609 "
ES,Female,55-59," 117,345 "
ES,Female,60-64," 102,181 "
ES,Female,65-69," 81,004 "
ES,Female,70-74," 56,884 "
ES,Female,75-79," 39,261 "
ES,Female,80-84," 27,265 "
ES,Female,85-89," 16,179 "
ES,Female,90+," 12,383 "
ES,Male,0," 29,366 "
ES,Male,01-04," 117,853 "
ES,Male,05-09," 145,675 "
ES,Male,10-14," 139,745 "
ES,Male,15-19," 146,590 "
ES,Male,20-24," 158,420 "
ES,Male,25-29," 158,409 "
ES,Male,30-34," 169,020 "
ES,Male,35-39," 167,222 "
ES,Male,40-44," 152,677 "
ES,Male,45-49," 128,685 "
ES,Male,50-54," 118,557 "
ES,Male,55-59," 107,707 "
ES,Male,60-64," 91,654 "
ES,Male,65-69," 71,039 "
ES,Male,70-74," 47,070 "
ES,Male,75-79," 29,680 "
ES,Male,80-84," 18,786 "
ES,Male,85-89," 10,263 "
ES,Male,90+," 6,543 "
ES,Total,0," 57,404 "
ES,Total,01-04," 230,581 "
ES,Total,05-09," 285,209 "
ES,Total,10-14," 273,815 "
ES,Total,15-19," 288,315 "
ES,Total,20-24," 313,619 "
ES,Total,25-29," 315,991 "
ES,Total,30-34," 336,465 "
ES,Total,35-39," 335,801 "
ES,Total,40-44," 310,592 "
ES,Total,45-49," 265,283 "
ES,Total,50-54," 245,166 "
ES,Total,55-59," 225,053 "
ES,Total,60-64," 193,834 "
ES,Total,65-69," 152,043 "
ES,Total,70-74," 103,953 "
ES,Total,75-79," 68,941 "
ES,Total,80-84," 46,051 "
ES,Total,85-89," 26,442 "
ES,Total,90+," 18,926 "
GO,Female,0," 49,359 "
GO,Female,01-04," 202,998 "
GO,Female,05-09," 256,345 "
GO,Female,10-14," 243,550 "
GO,Female,15-19," 254,897 "
GO,Female,20-24," 282,477 "
GO,Female,25-29," 295,797 "
GO,Female,30-34," 302,541 "
GO,Female,35-39," 298,625 "
GO,Female,40-44," 283,290 "
GO,Female,45-49," 250,849 "
GO,Female,50-54," 224,653 "
GO,Female,55-59," 192,416 "
GO,Female,60-64," 155,560 "
GO,Female,65-69," 119,710 "
GO,Female,70-74," 85,515 "
GO,Female,75-79," 56,750 "
GO,Female,80-84," 36,162 "
GO,Female,85-89," 18,471 "
GO,Female,90+," 10,085 "
GO,Male,0," 51,704 "
GO,Male,01-04," 211,983 "
GO,Male,05-09," 266,936 "
GO,Male,10-14," 253,505 "
GO,Male,15-19," 263,922 "
GO,Male,20-24," 288,717 "
GO,Male,25-29," 297,978 "
GO,Male,30-34," 307,351 "
GO,Male,35-39," 297,289 "
GO,Male,40-44," 274,655 "
GO,Male,45-49," 238,705 "
GO,Male,50-54," 211,689 "
GO,Male,55-59," 177,670 "
GO,Male,60-64," 139,754 "
GO,Male,65-69," 104,157 "
GO,Male,70-74," 73,711 "
GO,Male,75-79," 47,923 "
GO,Male,80-84," 28,885 "
GO,Male,85-89," 13,895 "
GO,Male,90+," 7,401 "
GO,Total,0," 101,064 "
GO,Total,01-04," 414,981 "
GO,Total,05-09," 523,281 "
GO,Total,10-14," 497,055 "
GO,Total,15-19," 518,819 "
GO,Total,20-24," 571,194 "
GO,Total,25-29," 593,775 "
GO,Total,30-34," 609,892 "
GO,Total,35-39," 595,914 "
GO,Total,40-44," 557,945 "
GO,Total,45-49," 489,553 "
GO,Total,50-54," 436,342 "
GO,Total,55-59," 370,086 "
GO,Total,60-64," 295,314 "
GO,Total,65-69," 223,868 "
GO,Total,70-74," 159,227 "
GO,Total,75-79," 104,673 "
GO,Total,80-84," 65,047 "
GO,Total,85-89," 32,366 "
GO,Total,90+," 17,485 "
MA,Female,0," 57,359 "
MA,Female,01-04," 229,581 "
MA,Female,05-09," 284,887 "
MA,Female,10-14," 313,992 "
MA,Female,15-19," 327,940 "
MA,Female,20-24," 330,730 "
MA,Female,25-29," 307,392 "
MA,Female,30-34," 302,304 "
MA,Female,35-39," 289,774 "
MA,Female,40-44," 251,266 "
MA,Female,45-49," 201,583 "
MA,Female,50-54," 174,197 "
MA,Female,55-59," 147,998 "
MA,Female,60-64," 121,514 "
MA,Female,65-69," 98,750 "
MA,Female,70-74," 72,878 "
MA,Female,75-79," 51,781 "
MA,Female,80-84," 35,243 "
MA,Female,85-89," 19,452 "
MA,Female,90+," 14,306 "
MA,Male,0," 60,056 "
MA,Male,01-04," 240,035 "
MA,Male,05-09," 297,690 "
MA,Male,10-14," 328,235 "
MA,Male,15-19," 340,844 "
MA,Male,20-24," 337,033 "
MA,Male,25-29," 298,877 "
MA,Male,30-34," 282,254 "
MA,Male,35-39," 267,658 "
MA,Male,40-44," 232,404 "
MA,Male,45-49," 187,366 "
MA,Male,50-54," 160,379 "
MA,Male,55-59," 133,010 "
MA,Male,60-64," 106,294 "
MA,Male,65-69," 83,568 "
MA,Male,70-74," 61,615 "
MA,Male,75-79," 42,180 "
MA,Male,80-84," 26,070 "
MA,Male,85-89," 13,465 "
MA,Male,90+," 8,101 "
MA,Total,0," 117,415 "
MA,Total,01-04," 469,616 "
MA,Total,05-09," 582,576 "
MA,Total,10-14," 642,227 "
MA,Total,15-19," 668,784 "
MA,Total,20-24," 667,763 "
MA,Total,25-29," 606,270 "
MA,Total,30-34," 584,558 "
MA,Total,35-39," 557,432 "
MA,Total,40-44," 483,670 "
MA,Total,45-49," 388,949 "
MA,Total,50-54," 334,577 "
MA,Total,55-59," 281,008 "
MA,Total,60-64," 227,809 "
MA,Total,65-69," 182,318 "
MA,Total,70-74," 134,494 "
MA,Total,75-79," 93,961 "
MA,Total,80-84," 61,314 "
MA,Total,85-89," 32,918 "
MA,Total,90+," 22,407 "
MG,Female,0," 128,941 "
MG,Female,01-04," 518,948 "
MG,Female,05-09," 647,145 "
MG,Female,10-14," 649,683 "
MG,Female,15-19," 719,507 "
MG,Female,20-24," 822,382 "
MG,Female,25-29," 844,425 "
MG,Female,30-34," 851,016 "
MG,Female,35-39," 852,949 "
MG,Female,40-44," 814,297 "
MG,Female,45-49," 726,915 "
MG,Female,50-54," 692,614 "
MG,Female,55-59," 652,732 "
MG,Female,60-64," 568,510 "
MG,Female,65-69," 456,124 "
MG,Female,70-74," 340,027 "
MG,Female,75-79," 238,185 "
MG,Female,80-84," 163,636 "
MG,Female,85-89," 93,576 "
MG,Female,90+," 68,086 "
MG,Male,0," 135,246 "
MG,Male,01-04," 544,152 "
MG,Male,05-09," 677,749 "
MG,Male,10-14," 679,793 "
MG,Male,15-19," 751,243 "
MG,Male,20-24," 849,525 "
MG,Male,25-29," 857,494 "
MG,Male,30-34," 860,295 "
MG,Male,35-39," 845,010 "
MG,Male,40-44," 789,728 "
MG,Male,45-49," 687,361 "
MG,Male,50-54," 647,353 "
MG,Male,55-59," 596,251 "
MG,Male,60-64," 510,144 "
MG,Male,65-69," 396,485 "
MG,Male,70-74," 285,062 "
MG,Male,75-79," 188,289 "
MG,Male,80-84," 120,044 "
MG,Male,85-89," 63,507 "
MG,Male,90+," 36,854 "
MG,Total,0," 264,188 "
MG,Total,01-04," 1,063,100 "
MG,Total,05-09," 1,324,893 "
MG,Total,10-14," 1,329,476 "
MG,Total,15-19," 1,470,750 "
MG,Total,20-24," 1,671,908 "
MG,Total,25-29," 1,701,920 "
MG,Total,30-34," 1,711,311 "
MG,Total,35-39," 1,697,960 "
MG,Total,40-44," 1,604,026 "
MG,Total,45-49," 1,414,277 "
MG,Total,50-54," 1,339,967 "
MG,Total,55-59," 1,248,984 "
MG,Total,60-64," 1,078,654 "
MG,Total,65-69," 852,608 "
MG,Total,70-74," 625,089 "
MG,Total,75-79," 426,474 "
MG,Total,80-84," 283,680 "
MG,Total,85-89," 157,082 "
MG,Total,90+," 104,941 "
MS,Female,0," 21,320 "
MS,Female,01-04," 85,770 "
MS,Female,05-09," 106,141 "
MS,Female,10-14," 99,459 "
MS,Female,15-19," 100,986 "
MS,Female,20-24," 109,037 "
MS,Female,25-29," 113,843 "
MS,Female,30-34," 111,764 "
MS,Female,35-39," 112,185 "
MS,Female,40-44," 104,254 "
MS,Female,45-49," 93,410 "
MS,Female,50-54," 85,591 "
MS,Female,55-59," 78,337 "
MS,Female,60-64," 63,966 "
MS,Female,65-69," 49,476 "
MS,Female,70-74," 35,737 "
MS,Female,75-79," 24,818 "
MS,Female,80-84," 16,040 "
MS,Female,85-89," 8,572 "
MS,Female,90+," 5,197 "
MS,Male,0," 22,337 "
MS,Male,01-04," 89,802 "
MS,Male,05-09," 111,246 "
MS,Male,10-14," 104,418 "
MS,Male,15-19," 105,897 "
MS,Male,20-24," 112,880 "
MS,Male,25-29," 115,374 "
MS,Male,30-34," 113,039 "
MS,Male,35-39," 109,739 "
MS,Male,40-44," 100,699 "
MS,Male,45-49," 89,632 "
MS,Male,50-54," 81,053 "
MS,Male,55-59," 72,067 "
MS,Male,60-64," 57,809 "
MS,Male,65-69," 43,916 "
MS,Male,70-74," 30,497 "
MS,Male,75-79," 20,047 "
MS,Male,80-84," 12,728 "
MS,Male,85-89," 6,501 "
MS,Male,90+," 3,558 "
MS,Total,0," 43,657 "
MS,Total,01-04," 175,572 "
MS,Total,05-09," 217,387 "
MS,Total,10-14," 203,877 "
MS,Total,15-19," 206,883 "
MS,Total,20-24," 221,918 "
MS,Total,25-29," 229,217 "
MS,Total,30-34," 224,803 "
MS,Total,35-39," 221,924 "
MS,Total,40-44," 204,952 "
MS,Total,45-49," 183,042 "
MS,Total,50-54," 166,644 "
MS,Total,55-59," 150,404 "
MS,Total,60-64," 121,775 "
MS,Total,65-69," 93,392 "
MS,Total,70-74," 66,234 "
MS,Total,75-79," 44,866 "
MS,Total,80-84," 28,768 "
MS,Total,85-89," 15,073 "
MS,Total,90+," 8,755 "
MT,Female,0," 27,734 "
MT,Female,01-04," 111,023 "
MT,Female,05-09," 133,606 "
MT,Female,10-14," 129,494 "
MT,Female,15-19," 132,397 "
MT,Female,20-24," 138,546 "
MT,Female,25-29," 144,167 "
MT,Female,30-34," 144,869 "
MT,Female,35-39," 142,613 "
MT,Female,40-44," 133,636 "
MT,Female,45-49," 117,706 "
MT,Female,50-54," 104,143 "
MT,Female,55-59," 88,601 "
MT,Female,60-64," 70,014 "
MT,Female,65-69," 51,501 "
MT,Female,70-74," 35,534 "
MT,Female,75-79," 22,993 "
MT,Female,80-84," 14,041 "
MT,Female,85-89," 6,856 "
MT,Female,90+," 4,007 "
MT,Male,0," 29,040 "
MT,Male,01-04," 116,027 "
