"Appendix 2b: All-Cause Deaths in 2019 by State, Sex, and Age Group as Reported by MOH",,,
State,Sex,Age Group,All deaths
MG,Male,85-89,6370
MG,Male,90+,5219
MS,Female,0,235
MS,Female,01-04,38
MS,Female,05-09,24
MS,Female,10-14,28
MS,Female,15-19,46
MS,Female,20-24,61
MS,Female,25-29,99
MS,Female,30-34,97
MS,Female,35-39,147
MS,Female,40-44,186
MS,Female,45-49,246
MS,Female,50-54,341
MS,Female,55-59,442
MS,Female,60-64,501
MS,Female,65-69,640
MS,Female,70-74,774
MS,Female,75-79,812
MS,Female,80-84,857
MS,Female,85-89,761
MS,Female,90+,792
MS,Male,0,249
MS,Male,01-04,49
MS,Male,05-09,29
MS,Male,10-14,46
MS,Male,15-19,163
MS,Male,20-24,205
MS,Male,25-29,235
MS,Male,30-34,242
MS,Male,35-39,308
MS,Male,40-44,332
MS,Male,45-49,425
MS,Male,50-54,601
MS,Male,55-59,709
MS,Male,60-64,852
MS,Male,65-69,969
MS,Male,70-74,990
MS,Male,75-79,959
MS,Male,80-84,1009
MS,Male,85-89,696
MS,Male,90+,565
MT,Female,0,328
MT,Female,01-04,69
MT,Female,05-09,29
MT,Female,10-14,46
MT,Female,15-19,73
MT,Female,20-24,87
MT,Female,25-29,104
MT,Female,30-34,143
MT,Female,35-39,181
MT,Female,40-44,230
MT,Female,45-49,285
MT,Female,50-54,372
MT,Female,55-59,433
MT,Female,60-64,551
MT,Female,65-69,623
MT,Female,70-74,684
MT,Female,75-79,752
MT,Female,80-84,748
MT,Female,85-89,628
MT,Female,90+,629
MT,Male,0,414
MT,Male,01-04,73
MT,Male,05-09,31
MT,Male,10-14,56
MT,Male,15-19,232
MT,Male,20-24,337
MT,Male,25-29,370
MT,Male,30-34,354
MT,Male,35-39,413
MT,Male,40-44,516
MT,Male,45-49,580
MT,Male,50-54,714
MT,Male,55-59,878
MT,Male,60-64,1004
MT,Male,65-69,1107
MT,Male,70-74,1056
MT,Male,75-79,1075
MT,Male,80-84,916
MT,Male,85-89,689
MT,Male,90+,453
PA,Female,0,902
PA,Female,01-04,181
PA,Female,05-09,84
PA,Female,10-14,108
PA,Female,15-19,195
PA,Female,20-24,250
PA,Female,25-29,291
PA,Female,30-34,307
PA,Female,35-39,458
PA,Female,40-44,497
PA,Female,45-49,549
PA,Female,50-54,703
PA,Female,55-59,910
PA,Female,60-64,1142
PA,Female,65-69,1318
PA,Female,70-74,1487
PA,Female,75-79,1671
PA,Female,80-84,1682
PA,Female,85-89,1464
PA,Female,90+,1670
PA,Male,0,1167
PA,Male,01-04,216
PA,Male,05-09,118
PA,Male,10-14,156
PA,Male,15-19,823
PA,Male,20-24,1224
PA,Male,25-29,1095
PA,Male,30-34,1045
PA,Male,35-39,1039
PA,Male,40-44,1010
PA,Male,45-49,1003
PA,Male,50-54,1250
PA,Male,55-59,1526
PA,Male,60-64,1824
PA,Male,65-69,2101
PA,Male,70-74,2135
PA,Male,75-79,2266
PA,Male,80-84,1851
PA,Male,85-89,1419
PA,Male,90+,1159
PB,Female,0,350
PB,Female,01-04,55
PB,Female,05-09,29
PB,Female,10-14,41
PB,Female,15-19,49
PB,Female,20-24,91
PB,Female,25-29,91
PB,Female,30-34,140
PB,Female,35-39,212
PB,Female,40-44,270
PB,Female,45-49,376
PB,Female,50-54,458
PB,Female,55-59,595
PB,Female,60-64,769
PB,Female,65-69,1038
PB,Female,70-74,1183
PB,Female,75-79,1460
PB,Female,80-84,1743
PB,Female,85-89,1546
PB,Female,90+,2075
PB,Male,0,396
PB,Male,01-04,66
PB,Male,05-09,39
PB,Male,10-14,50
PB,Male,15-19,246
PB,Male,20-24,351
PB,Male,25-29,373
PB,Male,30-34,425
PB,Male,35-39,463
PB,Male,40-44,550
PB,Male,45-49,668
PB,Male,50-54,846
PB,Male,55-59,973
PB,Male,60-64,1092
PB,Male,65-69,1273
PB,Male,70-74,1468
PB,Male,75-79,1517
PB,Male,80-84,1444
PB,Male,85-89,1126
PB,Male,90+,1344
PE,Female,0,721
PE,Female,01-04,117
PE,Female,05-09,70
PE,Female,10-14,80
PE,Female,15-19,159
PE,Female,20-24,222
PE,Female,25-29,250
PE,Female,30-34,353
PE,Female,35-39,476
PE,Female,40-44,724
PE,Female,45-49,860
PE,Female,50-54,1255
PE,Female,55-59,1647
PE,Female,60-64,1947
PE,Female,65-69,2558
PE,Female,70-74,3016
PE,Female,75-79,3504
PE,Female,80-84,3874
PE,Female,85-89,3324
PE,Female,90+,4011
PE,Male,0,888
PE,Male,01-04,131
PE,Male,05-09,68
PE,Male,10-14,150
PE,Male,15-19,803
PE,Male,20-24,1175
PE,Male,25-29,1072
PE,Male,30-34,1120
PE,Male,35-39,1174
PE,Male,40-44,1376
PE,Male,45-49,1545
PE,Male,50-54,2079
PE,Male,55-59,2444
PE,Male,60-64,2750
PE,Male,65-69,3147
PE,Male,70-74,3401
PE,Male,75-79,3538
PE,Male,80-84,3168
PE,Male,85-89,2333
PE,Male,90+,2367
PI,Female,0,320
PI,Female,01-04,43
PI,Female,05-09,21
PI,Female,10-14,34
PI,Female,15-19,71
PI,Female,20-24,81
PI,Female,25-29,96
PI,Female,30-34,117
PI,Female,35-39,170
PI,Female,40-44,211
PI,Female,45-49,264
PI,Female,50-54,360
PI,Female,55-59,432
PI,Female,60-64,541
PI,Female,65-69,765
PI,Female,70-74,803
PI,Female,75-79,1043
PI,Female,80-84,1177
PI,Female,85-89,1069
PI,Female,90+,1367
PI,Male,0,374
PI,Male,01-04,58
PI,Male,05-09,31
PI,Male,10-14,49
PI,Male,15-19,194
PI,Male,20-24,307
PI,Male,25-29,317
PI,Male,30-34,395
PI,Male,35-39,412
PI,Male,40-44,462
PI,Male,45-49,457
PI,Male,50-54,619
PI,Male,55-59,689
PI,Male,60-64,745
PI,Male,65-69,968
PI,Male,70-74,1048
PI,Male,75-79,1147
PI,Male,80-84,1164
PI,Male,85-89,963
PI,Male,90+,1006
PR,Female,0,709
PR,Female,01-04,128
PR,Female,05-09,67
PR,Female,10-14,85
PR,Female,15-19,176
PR,Female,20-24,222
PR,Female,25-29,257
PR,Female,30-34,364
PR,Female,35-39,506
PR,Female,40-44,668
PR,Female,45-49,1020
PR,Female,50-54,1334
PR,Female,55-59,1876
PR,Female,60-64,2387
PR,Female,65-69,2985
PR,Female,70-74,3455
PR,Female,75-79,3963
PR,Female,80-84,4358
PR,Female,85-89,4032
PR,Female,90+,3771
PR,Male,0,866
PR,Male,01-04,155
PR,Male,05-09,79
PR,Male,10-14,102
PR,Male,15-19,574
PR,Male,20-24,1022
PR,Male,25-29,1008
PR,Male,30-34,940
PR,Male,35-39,1163
PR,Male,40-44,1328
PR,Male,45-49,1762
PR,Male,50-54,2404
PR,Male,55-59,3138
PR,Male,60-64,3925
PR,Male,65-69,4278
PR,Male,70-74,4699
PR,Male,75-79,4699
PR,Male,80-84,4401
PR,Male,85-89,3264
PR,Male,90+,2249
RJ,Female,0,1243
RJ,Female,01-04,192
RJ,Female,05-09,110
RJ,Female,10-14,114
RJ,Female,15-19,288
RJ,Female,20-24,426
RJ,Female,25-29,529
RJ,Female,30-34,722
RJ,Female,35-39,1060
RJ,Female,40-44,1445
RJ,Female,45-49,1985
RJ,Female,50-54,2793
RJ,Female,55-59,4031
RJ,Female,60-64,5486
RJ,Female,65-69,6455
RJ,Female,70-74,7228
RJ,Female,75-79,7768
RJ,Female,80-84,8867
RJ,Female,85-89,8856
RJ,Female,90+,9656
RJ,Male,0,1485
RJ,Male,01-04,252
RJ,Male,05-09,125
RJ,Male,10-14,178
RJ,Male,15-19,1549
RJ,Male,20-24,2232
RJ,Male,25-29,1904
RJ,Male,30-34,1723
RJ,Male,35-39,1919
RJ,Male,40-44,2188
RJ,Male,45-49,2848
RJ,Male,50-54,4084
RJ,Male,55-59,5636
RJ,Male,60-64,7518
RJ,Male,65-69,8436
RJ,Male,70-74,8287
RJ,Male,75-79,7578
RJ,Male,80-84,7101
RJ,Male,85-89,5438
RJ,Male,90+,4090
RN,Female,0,251
RN,Female,01-04,33
RN,Female,05-09,23
RN,Female,10-14,30
RN,Female,15-19,48
RN,Female,20-24,85
RN,Female,25-29,84
RN,Female,30-34,128
RN,Female,35-39,161
RN,Female,40-44,185
RN,Female,45-49,283
RN,Female,50-54,406
RN,Female,55-59,514
RN,Female,60-64,576
RN,Female,65-69,745
RN,Female,70-74,903
RN,Female,75-79,1161
RN,Female,80-84,1230
RN,Female,85-89,1089
RN,Female,90+,1684
RN,Male,0,284
RN,Male,01-04,50
RN,Male,05-09,32
RN,Male,10-14,38
RN,Male,15-19,333
RN,Male,20-24,439
RN,Male,25-29,406
RN,Male,30-34,367
RN,Male,35-39,407
RN,Male,40-44,455
RN,Male,45-49,524
RN,Male,50-54,696
RN,Male,55-59,828
RN,Male,60-64,870
RN,Male,65-69,1014
RN,Male,70-74,1138
RN,Male,75-79,1150
RN,Male,80-84,1112
RN,Male,85-89,914
RN,Male,90+,1085
RO,Female,0,150
RO,Female,01-04,29
RO,Female,05-09,8
RO,Female,10-14,16
RO,Female,15-19,29
RO,Female,20-24,30
RO,Female,25-29,42
RO,Female,30-34,68
RO,Female,35-39,99
RO,Female,40-44,101
RO,Female,45-49,117
RO,Female,50-54,164
RO,Female,55-59,210
RO,Female,60-64,270
RO,Female,65-69,301
RO,Female,70-74,338
RO,Female,75-79,319
RO,Female,80-84,363
RO,Female,85-89,315
RO,Female,90+,236
RO,Male,0,159
RO,Male,01-04,27
RO,Male,05-09,25
RO,Male,10-14,21
RO,Male,15-19,106
RO,Male,20-24,159
RO,Male,25-29,152
RO,Male,30-34,172
RO,Male,35-39,177
RO,Male,40-44,229
RO,Male,45-49,244
RO,Male,50-54,323
RO,Male,55-59,395
RO,Male,60-64,422
RO,Male,65-69,465
RO,Male,70-74,468
RO,Male,75-79,521
RO,Male,80-84,435
RO,Male,85-89,348
RO,Male,90+,251
RR,Female,0,118
RR,Female,01-04,21
RR,Female,05-09,17
RR,Female,10-14,11
RR,Female,15-19,30
RR,Female,20-24,30
RR,Female,25-29,23
RR,Female,30-34,23
RR,Female,35-39,37
RR,Female,40-44,50
RR,Female,45-49,37
RR,Female,50-54,51
RR,Female,55-59,67
RR,Female,60-64,51
RR,Female,65-69,74
RR,Female,70-74,85
RR,Female,75-79,77
RR,Female,80-84,63
RR,Female,85-89,68
RR,Female,90+,89
RR,Male,0,122
RR,Male,01-04,38
RR,Male,05-09,16
RR,Male,10-14,13
RR,Male,15-19,58
RR,Male,20-24,80
RR,Male,25-29,74
RR,Male,30-34,69
RR,Male,35-39,81
RR,Male,40-44,85
RR,Male,45-49,74
RR,Male,50-54,98
RR,Male,55-59,119
RR,Male,60-64,138
RR,Male,65-69,139
RR,Male,70-74,142
RR,Male,75-79,127
RR,Male,80-84,103
RR,Male,85-89,68
RR,Male,90+,52
RS,Female,0,635
RS,Female,01-04,83
RS,Female,05-09,53
RS,Female,10-14,81
RS,Female,15-19,149
RS,Female,20-24,195
RS,Female,25-29,252
RS,Female,30-34,349
RS,Female,35-39,557
RS,Female,40-44,752
RS,Female,45-49,1003
RS,Female,50-54,1492
RS,Female,55-59,2162
RS,Female,60-64,3018
RS,Female,65-69,3715
RS,Female,70-74,4305
RS,Female,75-79,5005
RS,Female,80-84,5983
RS,Female,85-89,5956
RS,Female,90+,6146
RS,Male,0,786
RS,Male,01-04,114
RS,Male,05-09,88
RS,Male,10-14,101
RS,Male,15-19,539
RS,Male,20-24,816
RS,Male,25-29,804
RS,Male,30-34,884
RS,Male,35-39,1060
RS,Male,40-44,1233
RS,Male,45-49,1574
RS,Male,50-54,2420
RS,Male,55-59,3667
RS,Male,60-64,4732
RS,Male,65-69,5470
RS,Male,70-74,5765
RS,Male,75-79,5713
RS,Male,80-84,4952
RS,Male,85-89,3854
RS,Male,90+,2559
SC,Female,0,427
SC,Female,01-04,43
SC,Female,05-09,54
SC,Female,10-14,46
SC,Female,15-19,96
SC,Female,20-24,121
SC,Female,25-29,153
SC,Female,30-34,204
SC,Female,35-39,304
SC,Female,40-44,396
SC,Female,45-49,558
SC,Female,50-54,857
SC,Female,55-59,1103
SC,Female,60-64,1413
SC,Female,65-69,1730
SC,Female,70-74,1924
SC,Female,75-79,2181
SC,Female,80-84,2532
SC,Female,85-89,2327
SC,Female,90+,2379
SC,Male,0,512
SC,Male,01-04,83
SC,Male,05-09,35
SC,Male,10-14,64
SC,Male,15-19,281
SC,Male,20-24,493
SC,Male,25-29,447
SC,Male,30-34,527
SC,Male,35-39,543
SC,Male,40-44,766
SC,Male,45-49,960
SC,Male,50-54,1436
SC,Male,55-59,1895
SC,Male,60-64,2294
SC,Male,65-69,2624
SC,Male,70-74,2683
SC,Male,75-79,2536
SC,Male,80-84,2318
SC,Male,85-89,1714
SC,Male,90+,1181
SE,Female,0,248
SE,Female,01-04,23
SE,Female,05-09,15
SE,Female,10-14,22
SE,Female,15-19,39
SE,Female,20-24,53
SE,Female,25-29,50
SE,Female,30-34,80
SE,Female,35-39,115
SE,Female,40-44,137
SE,Female,45-49,186
SE,Female,50-54,288
SE,Female,55-59,300
SE,Female,60-64,403
SE,Female,65-69,498
SE,Female,70-74,524
SE,Female,75-79,682
SE,Female,80-84,675
SE,Female,85-89,636
SE,Female,90+,843
SE,Male,0,306
SE,Male,01-04,40
SE,Male,05-09,24
SE,Male,10-14,35
SE,Male,15-19,205
SE,Male,20-24,347
SE,Male,25-29,285
SE,Male,30-34,258
SE,Male,35-39,329
SE,Male,40-44,329
SE,Male,45-49,335
SE,Male,50-54,427
SE,Male,55-59,500
SE,Male,60-64,573
SE,Male,65-69,665
SE,Male,70-74,660
SE,Male,75-79,684
SE,Male,80-84,618
SE,Male,85-89,475
SE,Male,90+,544
SP,Female,0,2888
SP,Female,01-04,440
SP,Female,05-09,224
SP,Female,10-14,259
SP,Female,15-19,597
SP,Female,20-24,898
SP,Female,25-29,1007
SP,Female,30-34,1456
SP,Female,35-39,2028
SP,Female,40-44,2929
SP,Female,45-49,3845
SP,Female,50-54,5371
SP,Female,55-59,7753
SP,Female,60-64,10435
SP,Female,65-69,12705
SP,Female,70-74,14133
SP,Female,75-79,16064
SP,Female,80-84,19033
SP,Female,85-89,18747
SP,Female,90+,20565
SP,Male,0,3538
SP,Male,01-04,581
SP,Male,05-09,271
SP,Male,10-14,364
SP,Male,15-19,1544
SP,Male,20-24,2701
SP,Male,25-29,2651
SP,Male,30-34,3231
SP,Male,35-39,4137
SP,Male,40-44,5197
SP,Male,45-49,6836
SP,Male,50-54,9784
SP,Male,55-59,13114
SP,Male,60-64,16555
SP,Male,65-69,17832
SP,Male,70-74,18074
SP,Male,75-79,17781
SP,Male,80-84,17015
SP,Male,85-89,13192
SP,Male,90+,9837
TO,Female,0,137
TO,Female,01-04,21
TO,Female,05-09,13
TO,Female,10-14,22
TO,Female,15-19,25
TO,Female,20-24,23
TO,Female,25-29,55
TO,Female,30-34,71
TO,Female,35-39,65
TO,Female,40-44,92
TO,Female,45-49,111
TO,Female,50-54,123
TO,Female,55-59,171
TO,Female,60-64,225
TO,Female,65-69,252
TO,Female,70-74,253
TO,Female,75-79,364
TO,Female,80-84,379
