Appendix 2a. 2020 All-cause and COVID-19 Deaths as Reported by the MOH,,,,
State,Sex,Age Group,All-cause Deaths,Covid-19 Deaths
PB,Male,90,1485,117
PB,Total,0,703,10
PB,Total,1-4,79,6
PB,Total,5-9,43,4
PB,Total,10-14,85,1
PB,Total,15-19,322,3
PB,Total,20-24,505,14
PB,Total,25-29,486,20
PB,Total,30-34,650,43
PB,Total,35-39,782,80
PB,Total,40-44,980,113
PB,Total,45-49,1204,132
PB,Total,50-54,1553,174
PB,Total,55-59,1886,230
PB,Total,60-64,2103,264
PB,Total,65-69,2573,371
PB,Total,70-74,3141,412
PB,Total,75-79,3275,438
PB,Total,80-84,3738,455
PB,Total,85-89,2943,333
PB,Total,90,3638,268
PE,Female,0,640,7
PE,Female,1-4,105,7
PE,Female,5-9,54,3
PE,Female,10-14,104,7
PE,Female,15-19,188,11
PE,Female,20-24,240,21
PE,Female,25-29,298,31
PE,Female,30-34,391,42
PE,Female,35-39,553,64
PE,Female,40-44,883,93
PE,Female,45-49,1092,139
PE,Female,50-54,1580,242
PE,Female,55-59,2019,318
PE,Female,60-64,2521,470
PE,Female,65-69,3089,514
PE,Female,70-74,3713,608
PE,Female,75-79,4171,610
PE,Female,80-84,4598,642
PE,Female,85-89,3697,471
PE,Female,90,4404,438
PE,Male,0,830,17
PE,Male,1-4,126,2
PE,Male,5-9,87,2
PE,Male,10-14,100,2
PE,Male,15-19,782,10
PE,Male,20-24,1292,19
PE,Male,25-29,1202,31
PE,Male,30-34,1243,78
PE,Male,35-39,1397,112
PE,Male,40-44,1630,179
PE,Male,45-49,1889,214
PE,Male,50-54,2479,331
PE,Male,55-59,2947,421
PE,Male,60-64,3506,543
PE,Male,65-69,3995,665
PE,Male,70-74,4410,765
PE,Male,75-79,4272,719
PE,Male,80-84,3990,642
PE,Male,85-89,2735,431
PE,Male,90,2693,333
PE,Total,0,1470,24
PE,Total,1-4,231,9
PE,Total,5-9,141,5
PE,Total,10-14,204,9
PE,Total,15-19,970,21
PE,Total,20-24,1532,40
PE,Total,25-29,1500,62
PE,Total,30-34,1634,120
PE,Total,35-39,1950,176
PE,Total,40-44,2513,272
PE,Total,45-49,2981,353
PE,Total,50-54,4059,573
PE,Total,55-59,4966,739
PE,Total,60-64,6027,1013
PE,Total,65-69,7084,1179
PE,Total,70-74,8123,1373
PE,Total,75-79,8443,1329
PE,Total,80-84,8588,1284
PE,Total,85-89,6432,902
PE,Total,90,7097,771
PI,Female,0,259,0
PI,Female,1-4,48,1
PI,Female,5-9,24,0
PI,Female,10-14,39,2
PI,Female,15-19,63,2
PI,Female,20-24,98,4
PI,Female,25-29,89,8
PI,Female,30-34,140,13
PI,Female,35-39,184,16
PI,Female,40-44,237,26
PI,Female,45-49,317,44
PI,Female,50-54,379,53
PI,Female,55-59,464,58
PI,Female,60-64,654,86
PI,Female,65-69,793,133
PI,Female,70-74,978,152
PI,Female,75-79,1127,142
PI,Female,80-84,1413,154
PI,Female,85-89,1182,141
PI,Female,90,1434,109
PI,Male,0,352,1
PI,Male,1-4,48,2
PI,Male,5-9,43,1
PI,Male,10-14,51,1
PI,Male,15-19,201,4
PI,Male,20-24,396,5
PI,Male,25-29,350,14
PI,Male,30-34,410,20
PI,Male,35-39,469,24
PI,Male,40-44,517,47
PI,Male,45-49,588,54
PI,Male,50-54,713,87
PI,Male,55-59,853,106
PI,Male,60-64,1020,149
PI,Male,65-69,1213,171
PI,Male,70-74,1297,224
PI,Male,75-79,1335,216
PI,Male,80-84,1435,237
PI,Male,85-89,1078,164
PI,Male,90,1095,115
PI,Total,0,611,1
PI,Total,1-4,96,3
PI,Total,5-9,67,1
PI,Total,10-14,90,3
PI,Total,15-19,264,6
PI,Total,20-24,494,9
PI,Total,25-29,439,22
PI,Total,30-34,550,33
PI,Total,35-39,653,40
PI,Total,40-44,754,73
PI,Total,45-49,905,98
PI,Total,50-54,1092,140
PI,Total,55-59,1317,164
PI,Total,60-64,1674,235
PI,Total,65-69,2006,304
PI,Total,70-74,2275,376
PI,Total,75-79,2462,358
PI,Total,80-84,2848,391
PI,Total,85-89,2260,305
PI,Total,90,2529,224
PR,Female,0,603,0
PR,Female,1-4,92,2
PR,Female,5-9,53,0
PR,Female,10-14,82,4
PR,Female,15-19,150,8
PR,Female,20-24,247,12
PR,Female,25-29,308,17
PR,Female,30-34,359,30
PR,Female,35-39,573,39
PR,Female,40-44,725,73
PR,Female,45-49,1055,116
PR,Female,50-54,1421,157
PR,Female,55-59,2051,239
PR,Female,60-64,2732,342
PR,Female,65-69,3361,451
PR,Female,70-74,3802,471
PR,Female,75-79,4291,460
PR,Female,80-84,4611,410
PR,Female,85-89,4207,374
PR,Female,90,3909,250
PR,Male,0,743,0
PR,Male,1-4,115,0
PR,Male,5-9,74,3
PR,Male,10-14,106,0
PR,Male,15-19,535,5
PR,Male,20-24,1103,11
PR,Male,25-29,999,25
PR,Male,30-34,1060,46
PR,Male,35-39,1337,85
PR,Male,40-44,1526,124
PR,Male,45-49,2004,199
PR,Male,50-54,2731,269
PR,Male,55-59,3694,433
PR,Male,60-64,4400,552
PR,Male,65-69,5051,659
PR,Male,70-74,5117,690
PR,Male,75-79,5096,679
PR,Male,80-84,4792,558
PR,Male,85-89,3424,355
PR,Male,90,2580,226
PR,Total,0,1346,0
PR,Total,1-4,207,2
PR,Total,5-9,127,3
PR,Total,10-14,188,4
PR,Total,15-19,685,13
PR,Total,20-24,1350,23
PR,Total,25-29,1307,42
PR,Total,30-34,1419,76
PR,Total,35-39,1910,124
PR,Total,40-44,2251,197
PR,Total,45-49,3059,315
PR,Total,50-54,4152,426
PR,Total,55-59,5745,672
PR,Total,60-64,7132,894
PR,Total,65-69,8412,1110
PR,Total,70-74,8919,1161
PR,Total,75-79,9387,1139
PR,Total,80-84,9403,968
PR,Total,85-89,7631,729
PR,Total,90,6489,476
RJ,Female,0,1133,7
RJ,Female,1-4,166,3
RJ,Female,5-9,67,3
RJ,Female,10-14,104,6
RJ,Female,15-19,314,17
RJ,Female,20-24,495,41
RJ,Female,25-29,605,71
RJ,Female,30-34,832,119
RJ,Female,35-39,1283,215
RJ,Female,40-44,1835,317
RJ,Female,45-49,2429,448
RJ,Female,50-54,3341,561
RJ,Female,55-59,4840,954
RJ,Female,60-64,6681,1334
RJ,Female,65-69,8173,1691
RJ,Female,70-74,8910,1750
RJ,Female,75-79,8952,1699
RJ,Female,80-84,10112,1744
RJ,Female,85-89,9415,1466
RJ,Female,90,10763,1374
RJ,Male,0,1345,16
RJ,Male,1-4,178,4
RJ,Male,5-9,85,2
RJ,Male,10-14,151,4
RJ,Male,15-19,1245,14
RJ,Male,20-24,2111,52
RJ,Male,25-29,1795,83
RJ,Male,30-34,1839,158
RJ,Male,35-39,2230,304
RJ,Male,40-44,2799,477
RJ,Male,45-49,3538,673
RJ,Male,50-54,5058,951
RJ,Male,55-59,7153,1428
RJ,Male,60-64,9232,1799
RJ,Male,65-69,10830,2327
RJ,Male,70-74,10796,2463
RJ,Male,75-79,9668,2091
RJ,Male,80-84,8517,1726
RJ,Male,85-89,6325,1290
RJ,Male,90,4858,823
RJ,Total,0,2478,23
RJ,Total,1-4,344,7
RJ,Total,5-9,152,5
RJ,Total,10-14,255,10
RJ,Total,15-19,1559,31
RJ,Total,20-24,2606,93
RJ,Total,25-29,2400,154
RJ,Total,30-34,2671,277
RJ,Total,35-39,3513,519
RJ,Total,40-44,4634,794
RJ,Total,45-49,5967,1121
RJ,Total,50-54,8399,1512
RJ,Total,55-59,11993,2382
RJ,Total,60-64,15913,3133
RJ,Total,65-69,19003,4018
RJ,Total,70-74,19706,4213
RJ,Total,75-79,18620,3790
RJ,Total,80-84,18629,3470
RJ,Total,85-89,15740,2756
RJ,Total,90,15621,2197
RN,Female,0,237,1
RN,Female,1-4,31,3
RN,Female,5-9,23,1
RN,Female,10-14,20,0
RN,Female,15-19,53,5
RN,Female,20-24,75,8
RN,Female,25-29,85,7
RN,Female,30-34,133,17
RN,Female,35-39,187,31
RN,Female,40-44,244,35
RN,Female,45-49,303,29
RN,Female,50-54,434,66
RN,Female,55-59,600,89
RN,Female,60-64,690,94
RN,Female,65-69,839,135
RN,Female,70-74,1094,167
RN,Female,75-79,1150,175
RN,Female,80-84,1492,217
RN,Female,85-89,1216,134
RN,Female,90,1750,133
RN,Male,0,248,1
RN,Male,1-4,31,3
RN,Male,5-9,25,1
RN,Male,10-14,39,1
RN,Male,15-19,248,0
RN,Male,20-24,480,11
RN,Male,25-29,436,13
RN,Male,30-34,419,24
RN,Male,35-39,456,37
RN,Male,40-44,517,55
RN,Male,45-49,595,67
RN,Male,50-54,862,114
RN,Male,55-59,1023,154
RN,Male,60-64,1072,168
RN,Male,65-69,1090,169
RN,Male,70-74,1451,253
RN,Male,75-79,1288,205
RN,Male,80-84,1355,210
RN,Male,85-89,986,124
RN,Male,90,1160,120
RN,Total,0,485,2
RN,Total,1-4,62,6
RN,Total,5-9,48,2
RN,Total,10-14,59,1
RN,Total,15-19,301,5
RN,Total,20-24,555,19
RN,Total,25-29,521,20
RN,Total,30-34,552,41
RN,Total,35-39,643,68
RN,Total,40-44,761,90
RN,Total,45-49,898,96
RN,Total,50-54,1296,180
RN,Total,55-59,1623,243
RN,Total,60-64,1762,262
RN,Total,65-69,1929,304
RN,Total,70-74,2545,420
RN,Total,75-79,2438,380
RN,Total,80-84,2847,427
RN,Total,85-89,2202,258
RN,Total,90,2910,253
RO,Female,0,140,4
RO,Female,1-4,15,1
RO,Female,5-9,7,1
RO,Female,10-14,22,0
RO,Female,15-19,29,2
RO,Female,20-24,41,2
RO,Female,25-29,54,4
RO,Female,30-34,79,17
RO,Female,35-39,102,19
RO,Female,40-44,114,27
RO,Female,45-49,186,37
RO,Female,50-54,215,56
RO,Female,55-59,275,55
RO,Female,60-64,336,65
RO,Female,65-69,368,90
RO,Female,70-74,416,105
RO,Female,75-79,454,87
RO,Female,80-84,443,75
RO,Female,85-89,343,51
RO,Female,90,296,40
RO,Male,0,190,3
RO,Male,1-4,30,3
RO,Male,5-9,22,1
RO,Male,10-14,28,2
RO,Male,15-19,105,5
RO,Male,20-24,168,8
RO,Male,25-29,165,10
RO,Male,30-34,206,21
RO,Male,35-39,250,33
RO,Male,40-44,281,45
RO,Male,45-49,329,78
RO,Male,50-54,425,94
RO,Male,55-59,473,94
RO,Male,60-64,558,110
RO,Male,65-69,646,154
RO,Male,70-74,652,160
RO,Male,75-79,558,124
RO,Male,80-84,502,101
RO,Male,85-89,359,63
RO,Male,90,324,40
RO,Total,0,330,7
RO,Total,1-4,45,4
RO,Total,5-9,29,2
RO,Total,10-14,50,2
RO,Total,15-19,134,7
RO,Total,20-24,209,10
RO,Total,25-29,219,14
RO,Total,30-34,285,38
RO,Total,35-39,352,52
RO,Total,40-44,395,72
RO,Total,45-49,515,115
RO,Total,50-54,640,150
RO,Total,55-59,748,149
RO,Total,60-64,894,175
RO,Total,65-69,1014,244
RO,Total,70-74,1068,265
RO,Total,75-79,1012,211
RO,Total,80-84,945,176
RO,Total,85-89,702,114
RO,Total,90,620,80
RR,Female,0,118,7
RR,Female,1-4,14,2
RR,Female,5-9,15,3
RR,Female,10-14,15,1
RR,Female,15-19,28,3
RR,Female,20-24,22,0
RR,Female,25-29,24,1
RR,Female,30-34,45,2
RR,Female,35-39,43,7
RR,Female,40-44,50,10
RR,Female,45-49,56,10
RR,Female,50-54,64,18
RR,Female,55-59,93,25
RR,Female,60-64,112,38
RR,Female,65-69,119,33
RR,Female,70-74,108,33
RR,Female,75-79,124,28
RR,Female,80-84,121,34
RR,Female,85-89,81,18
RR,Female,90,93,15
RR,Male,0,125,3
RR,Male,1-4,22,1
RR,Male,5-9,11,0
RR,Male,10-14,20,1
RR,Male,15-19,61,4
RR,Male,20-24,85,2
RR,Male,25-29,88,4
RR,Male,30-34,79,14
RR,Male,35-39,82,16
RR,Male,40-44,112,14
RR,Male,45-49,135,33
RR,Male,50-54,125,35
RR,Male,55-59,156,48
RR,Male,60-64,181,63
RR,Male,65-69,186,53
RR,Male,70-74,184,65
RR,Male,75-79,186,54
RR,Male,80-84,141,48
RR,Male,85-89,98,38
RR,Male,90,82,21
RR,Total,0,243,10
RR,Total,1-4,36,3
RR,Total,5-9,26,3
RR,Total,10-14,35,2
RR,Total,15-19,89,7
RR,Total,20-24,107,2
RR,Total,25-29,112,5
RR,Total,30-34,124,16
RR,Total,35-39,125,23
RR,Total,40-44,162,24
RR,Total,45-49,191,43
RR,Total,50-54,189,53
RR,Total,55-59,249,73
RR,Total,60-64,293,101
RR,Total,65-69,305,86
RR,Total,70-74,292,98
RR,Total,75-79,310,82
RR,Total,80-84,262,82
RR,Total,85-89,179,56
RR,Total,90,175,36
RS,Female,0,529,0
RS,Female,1-4,73,3
RS,Female,5-9,38,0
RS,Female,10-14,55,1
RS,Female,15-19,128,2
RS,Female,20-24,203,8
RS,Female,25-29,299,17
RS,Female,30-34,396,23
RS,Female,35-39,580,57
RS,Female,40-44,784,69
RS,Female,45-49,1038,99
RS,Female,50-54,1489,139
RS,Female,55-59,2184,200
RS,Female,60-64,3175,369
RS,Female,65-69,3836,440
RS,Female,70-74,4608,522
RS,Female,75-79,5146,511
RS,Female,80-84,5923,523
RS,Female,85-89,5856,507
RS,Female,90,6214,399
RS,Male,0,595,4
RS,Male,1-4,83,0
RS,Male,5-9,48,1
RS,Male,10-14,68,1
RS,Male,15-19,443,6
RS,Male,20-24,871,10
RS,Male,25-29,815,22
RS,Male,30-34,851,38
RS,Male,35-39,1069,74
RS,Male,40-44,1369,90
RS,Male,45-49,1784,150
RS,Male,50-54,2618,234
RS,Male,55-59,3824,354
RS,Male,60-64,5126,512
RS,Male,65-69,5920,659
RS,Male,70-74,6138,790
RS,Male,75-79,6049,667
RS,Male,80-84,5404,588
RS,Male,85-89,3852,379
RS,Male,90,2764,238
RS,Total,0,1124,4
RS,Total,1-4,156,3
RS,Total,5-9,86,1
RS,Total,10-14,123,2
RS,Total,15-19,571,8
RS,Total,20-24,1074,18
RS,Total,25-29,1114,39
RS,Total,30-34,1247,61
RS,Total,35-39,1649,131
RS,Total,40-44,2153,159
RS,Total,45-49,2822,249
RS,Total,50-54,4107,373
RS,Total,55-59,6008,554
RS,Total,60-64,8301,881
RS,Total,65-69,9756,1099
RS,Total,70-74,10746,1312
RS,Total,75-79,11195,1178
RS,Total,80-84,11327,1111
RS,Total,85-89,9708,886
RS,Total,90,8978,637
SC,Female,0,381,2
SC,Female,1-4,50,3
SC,Female,5-9,20,0
SC,Female,10-14,42,1
SC,Female,15-19,73,4
SC,Female,20-24,147,9
SC,Female,25-29,168,13
SC,Female,30-34,223,10
SC,Female,35-39,339,19
SC,Female,40-44,417,34
SC,Female,45-49,588,48
SC,Female,50-54,838,94
SC,Female,55-59,1233,137
SC,Female,60-64,1514,200
SC,Female,65-69,1741,205
SC,Female,70-74,2075,270
SC,Female,75-79,2263,244
SC,Female,80-84,2537,278
SC,Female,85-89,2396,208
SC,Female,90,2328,182
SC,Male,0,519,0
SC,Male,1-4,67,1
SC,Male,5-9,33,1
SC,Male,10-14,56,1
SC,Male,15-19,255,2
SC,Male,20-24,452,5
SC,Male,25-29,459,9
SC,Male,30-34,516,23
SC,Male,35-39,600,35
SC,Male,40-44,730,65
SC,Male,45-49,1052,114
SC,Male,50-54,1583,135
SC,Male,55-59,2094,224
SC,Male,60-64,2564,320
SC,Male,65-69,2944,441
SC,Male,70-74,3048,433
SC,Male,75-79,2716,366
SC,Male,80-84,2651,331
SC,Male,85-89,1771,213
SC,Male,90,1273,112
SC,Total,0,900,2
SC,Total,1-4,117,4
SC,Total,5-9,53,1
SC,Total,10-14,98,2
SC,Total,15-19,328,6
SC,Total,20-24,599,14
SC,Total,25-29,627,22
SC,Total,30-34,739,33
SC,Total,35-39,939,54
SC,Total,40-44,1147,99
SC,Total,45-49,1640,162
SC,Total,50-54,2421,229
SC,Total,55-59,3327,361
SC,Total,60-64,4078,520
SC,Total,65-69,4685,646
SC,Total,70-74,5123,703
SC,Total,75-79,4979,610
SC,Total,80-84,5188,609
SC,Total,85-89,4167,421
SC,Total,90,3601,294
SE,Female,0,209,8
SE,Female,1-4,35,1
SE,Female,5-9,15,1
SE,Female,10-14,13,1
SE,Female,15-19,32,2
SE,Female,20-24,53,9
SE,Female,25-29,63,6
SE,Female,30-34,80,14
SE,Female,35-39,143,16
SE,Female,40-44,163,20
SE,Female,45-49,219,32
SE,Female,50-54,347,60
SE,Female,55-59,408,61
SE,Female,60-64,511,76
SE,Female,65-69,584,106
SE,Female,70-74,638,110
SE,Female,75-79,717,109
SE,Female,80-84,782,116
SE,Female,85-89,734,95
SE,Female,90,906,89
SE,Male,0,287,6
SE,Male,1-4,28,4
SE,Male,5-9,14,3
SE,Male,10-14,35,1
SE,Male,15-19,213,6
SE,Male,20-24,323,4
SE,Male,25-29,305,10
SE,Male,30-34,326,20
SE,Male,35-39,323,42
SE,Male,40-44,372,39
SE,Male,45-49,429,56
SE,Male,50-54,576,79
SE,Male,55-59,649,76
SE,Male,60-64,786,125
SE,Male,65-69,827,143
SE,Male,70-74,846,159
SE,Male,75-79,827,167
SE,Male,80-84,822,115
SE,Male,85-89,560,89
SE,Male,90,559,76
SE,Total,0,496,14
SE,Total,1-4,63,5
SE,Total,5-9,29,4
SE,Total,10-14,48,2
SE,Total,15-19,245,8
SE,Total,20-24,376,13
SE,Total,25-29,368,16
SE,Total,30-34,406,34
SE,Total,35-39,466,58
SE,Total,40-44,535,59
SE,Total,45-49,648,88
SE,Total,50-54,923,139
SE,Total,55-59,1057,137
SE,Total,60-64,1297,201
SE,Total,65-69,1411,249
SE,Total,70-74,1484,269
SE,Total,75-79,1544,276
SE,Total,80-84,1604,231
SE,Total,85-89,1294,184
SE,Total,90,1465,165
SP,Female,0,2459,12
SP,Female,1-4,310,9
SP,Female,5-9,144,4
SP,Female,10-14,237,9
SP,Female,15-19,584,28
SP,Female,20-24,968,56
SP,Female,25-29,1123,99
SP,Female,30-34,1597,174
SP,Female,35-39,2359,313
SP,Female,40-44,3464,465
SP,Female,45-49,4527,636
SP,Female,50-54,6157,867
SP,Female,55-59,8999,1323
SP,Female,60-64,12312,1909
SP,Female,65-69,14865,2379
SP,Female,70-74,16813,2528
SP,Female,75-79,18125,2619
SP,Female,80-84,20711,2622
SP,Female,85-89,19553,2132
SP,Female,90,22306,1997
SP,Male,0,2967,9
SP,Male,1-4,372,10
SP,Male,5-9,216,10
SP,Male,10-14,303,14
SP,Male,15-19,1594,18
SP,Male,20-24,2866,54
SP,Male,25-29,2917,119
SP,Male,30-34,3805,288
SP,Male,35-39,4949,496
SP,Male,40-44,6308,789
SP,Male,45-49,8228,1073
SP,Male,50-54,11441,1560
SP,Male,55-59,15234,2215
SP,Male,60-64,19461,3165
SP,Male,65-69,21861,3779
SP,Male,70-74,21735,3819
SP,Male,75-79,20587,3381
SP,Male,80-84,19325,3013
SP,Male,85-89,14706,2028
SP,Male,90,11317,1310
SP,Total,0,5426,21
SP,Total,1-4,682,19
SP,Total,5-9,360,14
SP,Total,10-14,540,23
SP,Total,15-19,2178,46
SP,Total,20-24,3834,110
SP,Total,25-29,4040,218
SP,Total,30-34,5402,462
SP,Total,35-39,7308,809
SP,Total,40-44,9772,1254
SP,Total,45-49,12755,1709
SP,Total,50-54,17598,2427
SP,Total,55-59,24233,3538
SP,Total,60-64,31773,5074
SP,Total,65-69,36726,6158
SP,Total,70-74,38548,6347
SP,Total,75-79,38712,6000
SP,Total,80-84,40036,5635
SP,Total,85-89,34259,4160
SP,Total,90,33623,3307
TO,Female,0,119,1
TO,Female,1-4,30,1
TO,Female,5-9,8,0
TO,Female,10-14,12,0
TO,Female,15-19,24,0
TO,Female,20-24,53,7
TO,Female,25-29,45,1
TO,Female,30-34,52,8
TO,Female,35-39,102,9
TO,Female,40-44,110,22
TO,Female,45-49,121,15
TO,Female,50-54,149,9
TO,Female,55-59,188,25
TO,Female,60-64,255,45
TO,Female,65-69,283,51
TO,Female,70-74,348,59
TO,Female,75-79,359,54
TO,Female,80-84,408,58
TO,Female,85-89,363,35
TO,Female,90,382,35
TO,Male,0,123,0
TO,Male,1-4,28,0
TO,Male,5-9,22,0
TO,Male,10-14,34,3
TO,Male,15-19,125,2
TO,Male,20-24,196,4
TO,Male,25-29,168,2
TO,Male,30-34,170,10
TO,Male,35-39,224,16
TO,Male,40-44,237,24
TO,Male,45-49,259,33
TO,Male,50-54,306,50
TO,Male,55-59,374,61
TO,Male,60-64,423,81
TO,Male,65-69,520,91
TO,Male,70-74,548,95
TO,Male,75-79,542,106
TO,Male,80-84,548,107
TO,Male,85-89,411,58
TO,Male,90,404,46
TO,Total,0,242,1
TO,Total,1-4,58,1
TO,Total,5-9,30,0
TO,Total,10-14,46,3
TO,Total,15-19,149,2
TO,Total,20-24,249,11
TO,Total,25-29,213,3
TO,Total,30-34,222,18
TO,Total,35-39,326,25
TO,Total,40-44,347,46
TO,Total,45-49,380,48
TO,Total,50-54,455,59
TO,Total,55-59,562,86
TO,Total,60-64,678,126
TO,Total,65-69,803,142
TO,Total,70-74,896,154
TO,Total,75-79,901,160
TO,Total,80-84,956,165
TO,Total,85-89,774,93
TO,Total,90,786,81
