Appendix 2a. 2020 All-cause and COVID-19 Deaths as Reported by the MOH,,,,
State,Sex,Age Group,All-cause Deaths,Covid-19 Deaths
AM,Female,0,446,8
AM,Female,1-4,95,4
AM,Female,5-9,42,1
AM,Female,10-14,59,2
AM,Female,15-19,111,6
AM,Female,20-24,124,16
AM,Female,25-29,155,12
AM,Female,30-34,184,21
AM,Female,35-39,225,38
AM,Female,40-44,319,71
AM,Female,45-49,392,70
AM,Female,50-54,447,98
AM,Female,55-59,640,160
AM,Female,60-64,761,198
AM,Female,65-69,931,275
AM,Female,70-74,924,261
AM,Female,75-79,986,277
AM,Female,80-84,1008,246
AM,Female,85-89,830,173
AM,Female,90,923,151
AM,Male,0,588,11
AM,Male,1-4,106,4
AM,Male,5-9,64,3
AM,Male,10-14,81,2
AM,Male,15-19,356,8
AM,Male,20-24,568,15
AM,Male,25-29,519,16
AM,Male,30-34,475,40
AM,Male,35-39,564,61
AM,Male,40-44,628,123
AM,Male,45-49,673,148
AM,Male,50-54,793,192
AM,Male,55-59,1068,295
AM,Male,60-64,1236,381
AM,Male,65-69,1504,516
AM,Male,70-74,1484,480
AM,Male,75-79,1415,429
AM,Male,80-84,1263,360
AM,Male,85-89,862,231
AM,Male,90,764,168
AM,Total,0,1034,19
AM,Total,1-4,201,8
AM,Total,5-9,106,4
AM,Total,10-14,140,4
AM,Total,15-19,467,14
AM,Total,20-24,692,31
AM,Total,25-29,674,28
AM,Total,30-34,659,61
AM,Total,35-39,789,99
AM,Total,40-44,947,194
AM,Total,45-49,1065,218
AM,Total,50-54,1240,290
AM,Total,55-59,1708,455
AM,Total,60-64,1997,579
AM,Total,65-69,2435,791
AM,Total,70-74,2408,741
AM,Total,75-79,2401,706
AM,Total,80-84,2271,606
AM,Total,85-89,1692,404
AM,Total,90,1687,319
AP,Female,0,120,2
AP,Female,1-4,17,0
AP,Female,5-9,10,0
AP,Female,10-14,13,0
AP,Female,15-19,18,1
AP,Female,20-24,35,5
AP,Female,25-29,45,10
AP,Female,30-34,38,3
AP,Female,35-39,59,15
AP,Female,40-44,83,24
AP,Female,45-49,85,22
AP,Female,50-54,83,26
AP,Female,55-59,107,29
AP,Female,60-64,127,39
AP,Female,65-69,151,44
AP,Female,70-74,121,33
AP,Female,75-79,154,54
AP,Female,80-84,137,36
AP,Female,85-89,134,35
AP,Female,90,159,27
AP,Male,0,145,1
AP,Male,1-4,22,1
AP,Male,5-9,6,0
AP,Male,10-14,14,2
AP,Male,15-19,92,0
AP,Male,20-24,164,3
AP,Male,25-29,129,9
AP,Male,30-34,116,10
AP,Male,35-39,98,26
AP,Male,40-44,134,34
AP,Male,45-49,138,35
AP,Male,50-54,180,55
AP,Male,55-59,210,64
AP,Male,60-64,221,62
AP,Male,65-69,245,93
AP,Male,70-74,248,100
AP,Male,75-79,259,89
AP,Male,80-84,174,58
AP,Male,85-89,158,35
AP,Male,90,109,24
AP,Total,0,265,3
AP,Total,1-4,39,1
AP,Total,5-9,16,0
AP,Total,10-14,27,2
AP,Total,15-19,110,1
AP,Total,20-24,199,8
AP,Total,25-29,174,19
AP,Total,30-34,154,13
AP,Total,35-39,157,41
AP,Total,40-44,217,58
AP,Total,45-49,223,57
AP,Total,50-54,263,81
AP,Total,55-59,317,93
AP,Total,60-64,348,101
AP,Total,65-69,396,137
AP,Total,70-74,369,133
AP,Total,75-79,413,143
AP,Total,80-84,311,94
AP,Total,85-89,292,70
AP,Total,90,268,51
BA,Female,0,1171,10
BA,Female,1-4,148,8
BA,Female,5-9,103,4
BA,Female,10-14,118,3
BA,Female,15-19,294,17
BA,Female,20-24,389,17
BA,Female,25-29,430,32
BA,Female,30-34,622,50
BA,Female,35-39,975,96
BA,Female,40-44,1294,158
BA,Female,45-49,1543,179
BA,Female,50-54,1992,223
BA,Female,55-59,2488,271
BA,Female,60-64,3116,390
BA,Female,65-69,3673,481
BA,Female,70-74,4283,531
BA,Female,75-79,4692,548
BA,Female,80-84,5536,592
BA,Female,85-89,4980,502
BA,Female,90,6739,467
BA,Male,0,1486,21
BA,Male,1-4,174,3
BA,Male,5-9,109,6
BA,Male,10-14,194,4
BA,Male,15-19,1583,13
BA,Male,20-24,2446,28
BA,Male,25-29,2124,45
BA,Male,30-34,1958,69
BA,Male,35-39,2287,132
BA,Male,40-44,2496,183
BA,Male,45-49,2761,252
BA,Male,50-54,3480,340
BA,Male,55-59,4185,441
BA,Male,60-64,4935,591
BA,Male,65-69,5399,718
BA,Male,70-74,5787,748
BA,Male,75-79,5749,737
BA,Male,80-84,5538,658
BA,Male,85-89,4223,483
BA,Male,90,4500,374
BA,Total,0,2657,31
BA,Total,1-4,322,11
BA,Total,5-9,212,10
BA,Total,10-14,312,7
BA,Total,15-19,1877,30
BA,Total,20-24,2835,45
BA,Total,25-29,2554,77
BA,Total,30-34,2580,119
BA,Total,35-39,3262,228
BA,Total,40-44,3790,341
BA,Total,45-49,4304,431
BA,Total,50-54,5472,563
BA,Total,55-59,6673,712
BA,Total,60-64,8051,981
BA,Total,65-69,9072,1199
BA,Total,70-74,10070,1279
BA,Total,75-79,10441,1285
BA,Total,80-84,11074,1250
BA,Total,85-89,9203,985
BA,Total,90,11239,841
CE,Female,0,627,8
CE,Female,1-4,97,6
CE,Female,5-9,52,3
CE,Female,10-14,83,5
CE,Female,15-19,176,7
CE,Female,20-24,285,20
CE,Female,25-29,278,19
CE,Female,30-34,407,53
CE,Female,35-39,515,74
CE,Female,40-44,636,96
CE,Female,45-49,826,127
CE,Female,50-54,1108,207
CE,Female,55-59,1464,276
CE,Female,60-64,1831,377
CE,Female,65-69,2372,470
CE,Female,70-74,3068,663
CE,Female,75-79,3239,686
CE,Female,80-84,4204,777
CE,Female,85-89,3567,567
CE,Female,90,4668,538
CE,Male,0,770,12
CE,Male,1-4,112,3
CE,Male,5-9,68,5
CE,Male,10-14,156,5
CE,Male,15-19,908,10
CE,Male,20-24,1482,26
CE,Male,25-29,1308,50
CE,Male,30-34,1266,85
CE,Male,35-39,1338,141
CE,Male,40-44,1601,203
CE,Male,45-49,1612,243
CE,Male,50-54,2076,331
CE,Male,55-59,2638,439
CE,Male,60-64,2738,564
CE,Male,65-69,3231,707
CE,Male,70-74,3737,857
CE,Male,75-79,3743,897
CE,Male,80-84,4116,926
CE,Male,85-89,3003,638
CE,Male,90,3289,494
CE,Total,0,1397,20
CE,Total,1-4,209,9
CE,Total,5-9,120,8
CE,Total,10-14,239,10
CE,Total,15-19,1084,17
CE,Total,20-24,1767,46
CE,Total,25-29,1586,69
CE,Total,30-34,1673,138
CE,Total,35-39,1853,215
CE,Total,40-44,2237,299
CE,Total,45-49,2438,370
CE,Total,50-54,3184,538
CE,Total,55-59,4102,715
CE,Total,60-64,4569,941
CE,Total,65-69,5603,1177
CE,Total,70-74,6805,1520
CE,Total,75-79,6982,1583
CE,Total,80-84,8320,1703
CE,Total,85-89,6570,1205
CE,Total,90,7957,1032
DF,Female,0,190,1
DF,Female,1-4,18,0
DF,Female,5-9,15,1
DF,Female,10-14,11,0
DF,Female,15-19,30,2
DF,Female,20-24,52,5
DF,Female,25-29,67,6
DF,Female,30-34,100,9
DF,Female,35-39,135,23
DF,Female,40-44,194,26
DF,Female,45-49,250,45
DF,Female,50-54,325,63
DF,Female,55-59,441,78
DF,Female,60-64,550,124
DF,Female,65-69,661,126
DF,Female,70-74,747,161
DF,Female,75-79,787,154
DF,Female,80-84,890,174
DF,Female,85-89,716,115
DF,Female,90,861,121
DF,Male,0,192,0
DF,Male,1-4,20,0
DF,Male,5-9,21,0
DF,Male,10-14,21,1
DF,Male,15-19,104,1
DF,Male,20-24,178,5
DF,Male,25-29,212,8
DF,Male,30-34,231,19
DF,Male,35-39,295,32
DF,Male,40-44,416,65
DF,Male,45-49,455,87
DF,Male,50-54,586,104
DF,Male,55-59,729,143
DF,Male,60-64,815,178
DF,Male,65-69,942,207
DF,Male,70-74,937,219
DF,Male,75-79,892,212
DF,Male,80-84,947,199
DF,Male,85-89,623,145
DF,Male,90,527,98
DF,Total,0,382,1
DF,Total,1-4,38,0
DF,Total,5-9,36,1
DF,Total,10-14,32,1
DF,Total,15-19,134,3
DF,Total,20-24,230,10
DF,Total,25-29,279,14
DF,Total,30-34,331,28
DF,Total,35-39,430,55
DF,Total,40-44,610,91
DF,Total,45-49,705,132
DF,Total,50-54,911,167
DF,Total,55-59,1170,221
DF,Total,60-64,1365,302
DF,Total,65-69,1603,333
DF,Total,70-74,1684,380
DF,Total,75-79,1679,366
DF,Total,80-84,1837,373
DF,Total,85-89,1339,260
DF,Total,90,1388,219
ES,Female,0,235,4
ES,Female,1-4,41,1
ES,Female,5-9,20,2
ES,Female,10-14,29,0
ES,Female,15-19,66,5
ES,Female,20-24,85,4
ES,Female,25-29,118,12
ES,Female,30-34,144,17
ES,Female,35-39,258,42
ES,Female,40-44,341,52
ES,Female,45-49,426,81
ES,Female,50-54,542,95
ES,Female,55-59,748,153
ES,Female,60-64,1006,194
ES,Female,65-69,1162,236
ES,Female,70-74,1240,226
ES,Female,75-79,1290,252
ES,Female,80-84,1539,264
ES,Female,85-89,1441,207
ES,Female,90,1631,212
ES,Male,0,281,2
ES,Male,1-4,46,3
ES,Male,5-9,31,0
ES,Male,10-14,51,2
ES,Male,15-19,314,4
ES,Male,20-24,462,9
ES,Male,25-29,366,11
ES,Male,30-34,399,25
ES,Male,35-39,468,41
ES,Male,40-44,591,61
ES,Male,45-49,727,107
ES,Male,50-54,1009,134
ES,Male,55-59,1242,211
ES,Male,60-64,1636,289
ES,Male,65-69,1789,365
ES,Male,70-74,1716,357
ES,Male,75-79,1639,340
ES,Male,80-84,1491,289
ES,Male,85-89,1269,232
ES,Male,90,1011,141
ES,Total,0,516,6
ES,Total,1-4,87,4
ES,Total,5-9,51,2
ES,Total,10-14,80,2
ES,Total,15-19,380,9
ES,Total,20-24,547,13
ES,Total,25-29,484,23
ES,Total,30-34,543,42
ES,Total,35-39,726,83
ES,Total,40-44,932,113
ES,Total,45-49,1153,188
ES,Total,50-54,1551,229
ES,Total,55-59,1990,364
