Appendix 2a: 2021 Covid-19 Deaths as of April 30th as reported by Brasil.io (age and sex distribution according to hospitalized COVID-19 deaths),,,
State,Sex,Age Group,Covid Deaths
MT,Male,85-89,143
MT,Male,90+,61
MT,Total,0,3
MT,Total,01-04,0
MT,Total,05-09,0
MT,Total,10-14,0
MT,Total,15-19,3
MT,Total,20-24,24
MT,Total,25-29,34
MT,Total,30-34,147
MT,Total,35-39,154
MT,Total,40-44,334
MT,Total,45-49,348
MT,Total,50-54,389
MT,Total,55-59,648
MT,Total,60-64,624
MT,Total,65-69,641
MT,Total,70-74,669
MT,Total,75-79,543
MT,Total,80-84,345
MT,Total,85-89,232
MT,Total,90+,119
PA,Female,0,3
PA,Female,01-04,4
PA,Female,05-09,0
PA,Female,10-14,2
PA,Female,15-19,2
PA,Female,20-24,7
PA,Female,25-29,27
PA,Female,30-34,44
PA,Female,35-39,82
PA,Female,40-44,88
PA,Female,45-49,106
PA,Female,50-54,172
PA,Female,55-59,227
PA,Female,60-64,331
PA,Female,65-69,372
PA,Female,70-74,360
PA,Female,75-79,267
PA,Female,80-84,249
PA,Female,85-89,118
PA,Female,90+,84
PA,Male,0,4
PA,Male,01-04,1
PA,Male,05-09,0
PA,Male,10-14,5
PA,Male,15-19,9
PA,Male,20-24,13
PA,Male,25-29,29
PA,Male,30-34,62
PA,Male,35-39,104
PA,Male,40-44,143
PA,Male,45-49,179
PA,Male,50-54,256
PA,Male,55-59,313
PA,Male,60-64,420
PA,Male,65-69,528
PA,Male,70-74,437
PA,Male,75-79,345
PA,Male,80-84,264
PA,Male,85-89,158
PA,Male,90+,68
PA,Total,0,7
PA,Total,01-04,5
PA,Total,05-09,0
PA,Total,10-14,7
PA,Total,15-19,11
PA,Total,20-24,20
PA,Total,25-29,56
PA,Total,30-34,105
PA,Total,35-39,187
PA,Total,40-44,231
PA,Total,45-49,285
PA,Total,50-54,428
PA,Total,55-59,540
PA,Total,60-64,751
PA,Total,65-69,900
PA,Total,70-74,797
PA,Total,75-79,613
PA,Total,80-84,513
PA,Total,85-89,276
PA,Total,90+,153
PB,Female,0,0
PB,Female,01-04,0
PB,Female,05-09,0
PB,Female,10-14,0
PB,Female,15-19,1
PB,Female,20-24,6
PB,Female,25-29,13
PB,Female,30-34,23
PB,Female,35-39,41
PB,Female,40-44,68
PB,Female,45-49,51
PB,Female,50-54,93
PB,Female,55-59,120
PB,Female,60-64,154
PB,Female,65-69,182
PB,Female,70-74,168
PB,Female,75-79,167
PB,Female,80-84,156
PB,Female,85-89,95
PB,Female,90+,68
PB,Male,0,1
PB,Male,01-04,0
PB,Male,05-09,0
PB,Male,10-14,1
PB,Male,15-19,2
PB,Male,20-24,3
PB,Male,25-29,17
PB,Male,30-34,48
PB,Male,35-39,71
PB,Male,40-44,101
PB,Male,45-49,107
PB,Male,50-54,127
PB,Male,55-59,168
PB,Male,60-64,193
PB,Male,65-69,207
PB,Male,70-74,202
PB,Male,75-79,178
PB,Male,80-84,148
PB,Male,85-89,89
PB,Male,90+,54
PB,Total,0,1
PB,Total,01-04,0
PB,Total,05-09,0
PB,Total,10-14,1
PB,Total,15-19,3
PB,Total,20-24,9
PB,Total,25-29,30
PB,Total,30-34,72
PB,Total,35-39,112
PB,Total,40-44,168
PB,Total,45-49,158
PB,Total,50-54,220
PB,Total,55-59,288
PB,Total,60-64,347
PB,Total,65-69,388
PB,Total,70-74,370
PB,Total,75-79,345
PB,Total,80-84,305
PB,Total,85-89,184
PB,Total,90+,122
PE,Female,0,10
PE,Female,01-04,0
PE,Female,05-09,0
PE,Female,10-14,6
PE,Female,15-19,0
PE,Female,20-24,6
PE,Female,25-29,22
PE,Female,30-34,38
PE,Female,35-39,41
PE,Female,40-44,81
PE,Female,45-49,105
PE,Female,50-54,144
PE,Female,55-59,150
PE,Female,60-64,211
PE,Female,65-69,306
PE,Female,70-74,241
PE,Female,75-79,294
PE,Female,80-84,221
PE,Female,85-89,144
PE,Female,90+,109
PE,Male,0,4
PE,Male,01-04,2
PE,Male,05-09,2
PE,Male,10-14,2
PE,Male,15-19,4
PE,Male,20-24,6
PE,Male,25-29,22
PE,Male,30-34,53
PE,Male,35-39,59
PE,Male,40-44,93
PE,Male,45-49,142
PE,Male,50-54,146
PE,Male,55-59,211
PE,Male,60-64,247
PE,Male,65-69,288
PE,Male,70-74,308
PE,Male,75-79,296
PE,Male,80-84,194
PE,Male,85-89,103
PE,Male,90+,73
PE,Total,0,14
PE,Total,01-04,2
PE,Total,05-09,2
PE,Total,10-14,8
PE,Total,15-19,4
PE,Total,20-24,12
PE,Total,25-29,45
PE,Total,30-34,91
PE,Total,35-39,99
PE,Total,40-44,174
PE,Total,45-49,247
PE,Total,50-54,290
PE,Total,55-59,361
PE,Total,60-64,458
PE,Total,65-69,594
PE,Total,70-74,549
PE,Total,75-79,590
PE,Total,80-84,415
PE,Total,85-89,247
PE,Total,90+,182
PI,Female,0,5
PI,Female,01-04,0
PI,Female,05-09,0
PI,Female,10-14,2
PI,Female,15-19,0
PI,Female,20-24,8
PI,Female,25-29,14
PI,Female,30-34,18
PI,Female,35-39,14
PI,Female,40-44,37
PI,Female,45-49,48
PI,Female,50-54,61
PI,Female,55-59,65
PI,Female,60-64,120
PI,Female,65-69,115
PI,Female,70-74,148
PI,Female,75-79,115
PI,Female,80-84,97
PI,Female,85-89,72
PI,Female,90+,35
PI,Male,0,2
PI,Male,01-04,0
PI,Male,05-09,0
PI,Male,10-14,0
PI,Male,15-19,0
PI,Male,20-24,11
PI,Male,25-29,13
PI,Male,30-34,24
PI,Male,35-39,29
PI,Male,40-44,51
PI,Male,45-49,62
PI,Male,50-54,93
PI,Male,55-59,118
PI,Male,60-64,161
PI,Male,65-69,161
PI,Male,70-74,179
PI,Male,75-79,166
PI,Male,80-84,139
PI,Male,85-89,62
PI,Male,90+,41
PI,Total,0,6
PI,Total,01-04,0
PI,Total,05-09,0
PI,Total,10-14,2
PI,Total,15-19,0
PI,Total,20-24,19
PI,Total,25-29,27
PI,Total,30-34,41
PI,Total,35-39,43
PI,Total,40-44,88
PI,Total,45-49,110
PI,Total,50-54,153
PI,Total,55-59,183
PI,Total,60-64,281
PI,Total,65-69,276
PI,Total,70-74,327
PI,Total,75-79,281
PI,Total,80-84,236
PI,Total,85-89,134
PI,Total,90+,77
PR,Female,0,4
PR,Female,01-04,2
PR,Female,05-09,0
PR,Female,10-14,6
PR,Female,15-19,11
PR,Female,20-24,26
PR,Female,25-29,55
PR,Female,30-34,99
PR,Female,35-39,144
PR,Female,40-44,226
PR,Female,45-49,280
PR,Female,50-54,473
PR,Female,55-59,573
PR,Female,60-64,739
PR,Female,65-69,958
PR,Female,70-74,845
PR,Female,75-79,655
PR,Female,80-84,515
PR,Female,85-89,332
PR,Female,90+,165
PR,Male,0,4
PR,Male,01-04,0
PR,Male,05-09,2
PR,Male,10-14,1
PR,Male,15-19,11
PR,Male,20-24,37
PR,Male,25-29,79
PR,Male,30-34,159
PR,Male,35-39,267
PR,Male,40-44,345
PR,Male,45-49,515
PR,Male,50-54,669
PR,Male,55-59,847
PR,Male,60-64,1134
PR,Male,65-69,1159
PR,Male,70-74,1128
PR,Male,75-79,903
PR,Male,80-84,602
PR,Male,85-89,311
PR,Male,90+,143
PR,Total,0,7
PR,Total,01-04,2
PR,Total,05-09,2
PR,Total,10-14,7
PR,Total,15-19,22
PR,Total,20-24,63
PR,Total,25-29,134
PR,Total,30-34,258
PR,Total,35-39,411
