"Appendix 1b. Person-years by State, Sex, and Age Group for 2019",,,
State,Sex,Age Group,2019 Person-years
ES,Total,45-49,255535
ES,Total,50-54,241003
ES,Total,55-59,217926
ES,Total,60-64,183608
ES,Total,65-69,139276
ES,Total,70-74,93698
ES,Total,75-79,64065
ES,Total,80-84,43360
ES,Total,85-89,24393
ES,Total,90+,16815
GO,Female,0,49566
GO,Female,1-4,202849
GO,Female,5-9,248779
GO,Female,10-14,242536
GO,Female,15-19,258765
GO,Female,20-24,285944
GO,Female,25-29,294848
GO,Female,30-34,300555
GO,Female,35-39,293950
GO,Female,40-44,273777
GO,Female,45-49,241046
GO,Female,50-54,215870
GO,Female,55-59,181732
GO,Female,60-64,145226
GO,Female,65-69,110856
GO,Female,70-74,78318
GO,Female,75-79,52711
GO,Female,80-84,33544
GO,Female,85-89,16610
GO,Female,90+,9076
GO,Male,0,51913
GO,Male,1-4,211792
GO,Male,5-9,258990
GO,Male,10-14,252837
GO,Male,15-19,267581
GO,Male,20-24,290712
GO,Male,25-29,297468
GO,Male,30-34,304476
GO,Male,35-39,290429
GO,Male,40-44,264049
GO,Male,45-49,229369
GO,Male,50-54,203517
GO,Male,55-59,167737
GO,Male,60-64,130618
GO,Male,65-69,97121
GO,Male,70-74,68645
GO,Male,75-79,44947
GO,Male,80-84,27019
GO,Male,85-89,12690
GO,Male,90+,6762
GO,Total,0,101479
GO,Total,1-4,414641
GO,Total,5-9,507770
GO,Total,10-14,495373
GO,Total,15-19,526346
GO,Total,20-24,576656
GO,Total,25-29,592315
GO,Total,30-34,605030
GO,Total,35-39,584378
GO,Total,40-44,537826
GO,Total,45-49,470415
GO,Total,50-54,419387
GO,Total,55-59,349469
GO,Total,60-64,275844
GO,Total,65-69,207977
GO,Total,70-74,146963
GO,Total,75-79,97658
GO,Total,80-84,60563
GO,Total,85-89,29300
GO,Total,90+,15838
MA,Female,0,58006
MA,Female,1-4,230111
MA,Female,5-9,290604
MA,Female,10-14,330322
MA,Female,15-19,329093
MA,Female,20-24,333973
MA,Female,25-29,306442
MA,Female,30-34,303739
MA,Female,35-39,281224
MA,Female,40-44,236242
MA,Female,45-49,191278
MA,Female,50-54,168579
MA,Female,55-59,141553
MA,Female,60-64,116432
MA,Female,65-69,93769
MA,Female,70-74,68459
MA,Female,75-79,49584
MA,Female,80-84,33299
MA,Female,85-89,17732
MA,Female,90+,13337
MA,Male,0,60706
MA,Male,1-4,240461
MA,Male,5-9,303390
MA,Male,10-14,344622
MA,Male,15-19,340784
MA,Male,20-24,338866
MA,Male,25-29,295337
MA,Male,30-34,284284
MA,Male,35-39,261105
MA,Male,40-44,219844
MA,Male,45-49,178613
MA,Male,50-54,155021
MA,Male,55-59,127287
MA,Male,60-64,101913
MA,Male,65-69,80563
MA,Male,70-74,59151
MA,Male,75-79,40850
MA,Male,80-84,25139
MA,Male,85-89,12689
MA,Male,90+,7712
MA,Total,0,118712
MA,Total,1-4,470572
MA,Total,5-9,593994
MA,Total,10-14,674944
MA,Total,15-19,669878
MA,Total,20-24,672839
MA,Total,25-29,601779
MA,Total,30-34,588023
MA,Total,35-39,542329
MA,Total,40-44,456087
MA,Total,45-49,369892
MA,Total,50-54,323600
MA,Total,55-59,268840
MA,Total,60-64,218345
MA,Total,65-69,174332
MA,Total,70-74,127610
MA,Total,75-79,90434
MA,Total,80-84,58438
MA,Total,85-89,30421
MA,Total,90+,21049
MG,Female,0,130475
MG,Female,1-4,519813
MG,Female,5-9,640782
MG,Female,10-14,670030
MG,Female,15-19,753826
MG,Female,20-24,844061
MG,Female,25-29,848189
MG,Female,30-34,855366
MG,Female,35-39,847125
MG,Female,40-44,789945
MG,Female,45-49,710640
MG,Female,50-54,687701
MG,Female,55-59,635567
MG,Female,60-64,540091
MG,Female,65-69,425766
MG,Female,70-74,314902
MG,Female,75-79,223754
MG,Female,80-84,154743
MG,Female,85-89,86699
MG,Female,90+,61602
MG,Male,0,136834
MG,Male,1-4,544983
MG,Male,5-9,670891
MG,Male,10-14,700703
MG,Male,15-19,785735
MG,Male,20-24,867198
MG,Male,25-29,859901
MG,Male,30-34,861915
MG,Male,35-39,834586
MG,Male,40-44,761887
MG,Male,45-49,670344
MG,Male,50-54,642188
MG,Male,55-59,580472
MG,Male,60-64,484957
MG,Male,65-69,369952
MG,Male,70-74,263816
MG,Male,75-79,175970
MG,Male,80-84,113090
MG,Male,85-89,58404
MG,Male,90+,32914
MG,Total,0,267309
MG,Total,1-4,1064795
MG,Total,5-9,1311673
MG,Total,10-14,1370733
MG,Total,15-19,1539561
MG,Total,20-24,1711259
MG,Total,25-29,1708090
MG,Total,30-34,1717281
MG,Total,35-39,1681711
MG,Total,40-44,1551832
MG,Total,45-49,1380985
MG,Total,50-54,1329889
MG,Total,55-59,1216039
MG,Total,60-64,1025048
MG,Total,65-69,795718
MG,Total,70-74,578718
MG,Total,75-79,399723
MG,Total,80-84,267833
MG,Total,85-89,145103
MG,Total,90+,94516
MS,Female,0,21476
MS,Female,1-4,85861
MS,Female,5-9,103626
MS,Female,10-14,99577
MS,Female,15-19,102340
MS,Female,20-24,111633
MS,Female,25-29,113550
MS,Female,30-34,111273
MS,Female,35-39,110803
MS,Female,40-44,100618
MS,Female,45-49,90732
MS,Female,50-54,83821
MS,Female,55-59,75037
MS,Female,60-64,59654
MS,Female,65-69,45738
MS,Female,70-74,32819
MS,Female,75-79,23025
MS,Female,80-84,14740
MS,Female,85-89,7761
MS,Female,90+,4657
MS,Male,0,22499
MS,Male,1-4,89891
MS,Male,5-9,108611
MS,Male,10-14,104526
MS,Male,15-19,107049
MS,Male,20-24,114895
MS,Male,25-29,114964
MS,Male,30-34,112088
MS,Male,35-39,107581
MS,Male,40-44,97277
MS,Male,45-49,87016
MS,Male,50-54,79196
MS,Male,55-59,69085
MS,Male,60-64,54283
MS,Male,65-69,40925
MS,Male,70-74,28242
MS,Male,75-79,18961
MS,Male,80-84,12002
MS,Male,85-89,5963
MS,Male,90+,3228
MS,Total,0,43975
MS,Total,1-4,175752
MS,Total,5-9,212237
MS,Total,10-14,204103
MS,Total,15-19,209389
MS,Total,20-24,226528
MS,Total,25-29,228515
MS,Total,30-34,223361
MS,Total,35-39,218383
MS,Total,40-44,197895
MS,Total,45-49,177749
MS,Total,50-54,163018
MS,Total,55-59,144122
MS,Total,60-64,113937
MS,Total,65-69,86662
MS,Total,70-74,61061
MS,Total,75-79,41986
MS,Total,80-84,26743
MS,Total,85-89,13724
MS,Total,90+,7884
MT,Female,0,27893
MT,Female,1-4,110947
MT,Female,5-9,129181
MT,Female,10-14,132694
MT,Female,15-19,131645
MT,Female,20-24,140886
MT,Female,25-29,144584
MT,Female,30-34,144482
MT,Female,35-39,140621
MT,Female,40-44,129283
MT,Female,45-49,113121
MT,Female,50-54,99997
MT,Female,55-59,83456
MT,Female,60-64,64625
MT,Female,65-69,47016
MT,Female,70-74,32283
MT,Female,75-79,21021
MT,Female,80-84,12806
MT,Female,85-89,6078
MT,Female,90+,3560
MT,Male,0,29204
MT,Male,1-4,115934
MT,Male,5-9,134520
MT,Male,10-14,138077
MT,Male,15-19,137065
MT,Male,20-24,146916
MT,Male,25-29,149254
MT,Male,30-34,150714
MT,Male,35-39,144923
MT,Male,40-44,130447
MT,Male,45-49,114033
MT,Male,50-54,102179
MT,Male,55-59,86009
MT,Male,60-64,66339
MT,Male,65-69,47434
MT,Male,70-74,31982
MT,Male,75-79,20366
MT,Male,80-84,11916
MT,Male,85-89,5559
MT,Male,90+,2926
MT,Total,0,57097
MT,Total,1-4,226880
MT,Total,5-9,263701
MT,Total,10-14,270771
MT,Total,15-19,268710
MT,Total,20-24,287801
MT,Total,25-29,293838
MT,Total,30-34,295196
MT,Total,35-39,285544
MT,Total,40-44,259730
MT,Total,45-49,227155
MT,Total,50-54,202176
MT,Total,55-59,169464
MT,Total,60-64,130963
MT,Total,65-69,94450
MT,Total,70-74,64265
MT,Total,75-79,41387
MT,Total,80-84,24722
MT,Total,85-89,11637
MT,Total,90+,6486
PA,Female,0,70693
PA,Female,1-4,281435
PA,Female,5-9,359645
PA,Female,10-14,391182
PA,Female,15-19,399167
PA,Female,20-24,402991
PA,Female,25-29,380213
PA,Female,30-34,366252
PA,Female,35-39,343631
PA,Female,40-44,292100
PA,Female,45-49,240824
PA,Female,50-54,199221
PA,Female,55-59,159958
PA,Female,60-64,129640
PA,Female,65-69,97553
PA,Female,70-74,68707
PA,Female,75-79,48034
PA,Female,80-84,28845
PA,Female,85-89,15216
PA,Female,90+,9382
PA,Male,0,73945
PA,Male,1-4,294454
PA,Male,5-9,376088
PA,Male,10-14,408422
PA,Male,15-19,415835
PA,Male,20-24,412887
PA,Male,25-29,378971
PA,Male,30-34,360332
PA,Male,35-39,335653
PA,Male,40-44,290829
PA,Male,45-49,241405
PA,Male,50-54,200922
PA,Male,55-59,158938
PA,Male,60-64,126692
PA,Male,65-69,93227
PA,Male,70-74,63434
PA,Male,75-79,41253
PA,Male,80-84,22981
PA,Male,85-89,10811
PA,Male,90+,5784
PA,Total,0,144638
PA,Total,1-4,575889
PA,Total,5-9,735734
PA,Total,10-14,799604
PA,Total,15-19,815002
PA,Total,20-24,815878
PA,Total,25-29,759184
PA,Total,30-34,726583
PA,Total,35-39,679284
PA,Total,40-44,582930
PA,Total,45-49,482229
PA,Total,50-54,400143
PA,Total,55-59,318896
PA,Total,60-64,256332
PA,Total,65-69,190780
PA,Total,70-74,132141
PA,Total,75-79,89288
PA,Total,80-84,51826
PA,Total,85-89,26027
PA,Total,90+,15166
PB,Female,0,28128
PB,Female,1-4,111903
PB,Female,5-9,132321
PB,Female,10-14,151508
PB,Female,15-19,164264
PB,Female,20-24,168901
PB,Female,25-29,167138
PB,Female,30-34,168391
PB,Female,35-39,163381
PB,Female,40-44,149685
PB,Female,45-49,132184
PB,Female,50-54,123024
PB,Female,55-59,105011
PB,Female,60-64,84474
PB,Female,65-69,71583
PB,Female,70-74,58858
PB,Female,75-79,42401
PB,Female,80-84,30104
PB,Female,85-89,14669
PB,Female,90+,9716
PB,Male,0,29531
PB,Male,1-4,117609
PB,Male,5-9,139300
PB,Male,10-14,158639
PB,Male,15-19,168700
PB,Male,20-24,169234
PB,Male,25-29,160866
PB,Male,30-34,156659
PB,Male,35-39,150544
PB,Male,40-44,136323
PB,Male,45-49,118666
PB,Male,50-54,108331
PB,Male,55-59,90644
PB,Male,60-64,68696
PB,Male,65-69,55704
PB,Male,70-74,44406
PB,Male,75-79,29927
PB,Male,80-84,19677
PB,Male,85-89,9131
PB,Male,90+,5891
PB,Total,0,57659
PB,Total,1-4,229512
PB,Total,5-9,271621
PB,Total,10-14,310147
PB,Total,15-19,332964
PB,Total,20-24,338135
PB,Total,25-29,328003
PB,Total,30-34,325050
PB,Total,35-39,313925
PB,Total,40-44,286008
PB,Total,45-49,250850
PB,Total,50-54,231355
PB,Total,55-59,195656
PB,Total,60-64,153170
PB,Total,65-69,127287
PB,Total,70-74,103264
PB,Total,75-79,72328
PB,Total,80-84,49781
PB,Total,85-89,23800
PB,Total,90+,15608
PE,Female,0,67530
PE,Female,1-4,270137
PE,Female,5-9,345322
PE,Female,10-14,363967
PE,Female,15-19,389753
PE,Female,20-24,408364
PE,Female,25-29,395659
PE,Female,30-34,404619
PE,Female,35-39,391207
PE,Female,40-44,361546
PE,Female,45-49,323147
PE,Female,50-54,292484
PE,Female,55-59,249625
PE,Female,60-64,204213
PE,Female,65-69,165754
PE,Female,70-74,129628
PE,Female,75-79,90984
PE,Female,80-84,61881
PE,Female,85-89,31081
PE,Female,90+,19895
PE,Male,0,70755
PE,Male,1-4,282994
PE,Male,5-9,361255
PE,Male,10-14,378734
PE,Male,15-19,400781
PE,Male,20-24,410464
PE,Male,25-29,379313
PE,Male,30-34,375476
PE,Male,35-39,356341
PE,Male,40-44,323948
PE,Male,45-49,282245
PE,Male,50-54,249228
PE,Male,55-59,207642
PE,Male,60-64,162470
PE,Male,65-69,123979
PE,Male,70-74,94335
PE,Male,75-79,60690
PE,Male,80-84,37742
PE,Male,85-89,17234
PE,Male,90+,9982
PE,Total,0,138286
PE,Total,1-4,553131
PE,Total,5-9,706576
PE,Total,10-14,742701
PE,Total,15-19,790533
PE,Total,20-24,818827
PE,Total,25-29,774972
PE,Total,30-34,780095
PE,Total,35-39,747548
PE,Total,40-44,685493
PE,Total,45-49,605392
PE,Total,50-54,541712
PE,Total,55-59,457267
PE,Total,60-64,366683
PE,Total,65-69,289734
PE,Total,70-74,223964
PE,Total,75-79,151673
PE,Total,80-84,99623
PE,Total,85-89,48315
PE,Total,90+,29877
PI,Female,0,23482
PI,Female,1-4,92986
PI,Female,5-9,116575
PI,Female,10-14,130295
PI,Female,15-19,143699
PI,Female,20-24,143950
PI,Female,25-29,135589
PI,Female,30-34,138705
PI,Female,35-39,131944
PI,Female,40-44,120024
PI,Female,45-49,101248
PI,Female,50-54,93807
PI,Female,55-59,82474
PI,Female,60-64,68666
PI,Female,65-69,55816
PI,Female,70-74,41500
PI,Female,75-79,28991
PI,Female,80-84,19979
PI,Female,85-89,9972
PI,Female,90+,5583
PI,Male,0,24617
PI,Male,1-4,97365
PI,Male,5-9,121579
PI,Male,10-14,135132
PI,Male,15-19,148241
PI,Male,20-24,146776
PI,Male,25-29,129447
PI,Male,30-34,127247
PI,Male,35-39,120363
PI,Male,40-44,108787
PI,Male,45-49,91864
PI,Male,50-54,83684
PI,Male,55-59,71106
PI,Male,60-64,56525
PI,Male,65-69,44666
PI,Male,70-74,33740
PI,Male,75-79,22358
PI,Male,80-84,13300
PI,Male,85-89,6055
PI,Male,90+,3128
PI,Total,0,48099
PI,Total,1-4,190351
